China BAK Battery PE Ratio Historical Data,China BAK Battery PE Ratio Historical Data,China BAK Battery PE Ratio Historical Data,China BAK Battery PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.83,,6.9
2024-09-30,1.25,$0.12,10.42
2024-06-30,1.37,$0.19,7.21
2024-03-31,1.04,$0.09,11.56
2023-12-31,1.05,$-0.04,0.0
2023-09-30,0.82,$-0.10,0.0
2023-06-30,1.22,$-0.17,0.0
2023-03-31,0.88,$-0.14,0.0
2022-12-31,0.99,$-0.11,0.0
2022-09-30,1.15,$0.11,10.45
2022-06-30,1.07,$0.34,3.15
2022-03-31,1.28,$0.36,3.56
2021-12-31,1.56,$0.70,2.23
2021-09-30,2.33,$0.56,4.16
2021-06-30,4.71,$0.33,14.27
2021-03-31,5.1,$0.29,17.59
2020-12-31,5.06,$-0.10,0.0
2020-09-30,2.02,$-0.15,0.0
2020-06-30,0.76,$-0.19,0.0
2020-03-31,0.41,$-0.24,0.0
2019-12-31,1.15,$-0.30,0.0
2019-09-30,0.6,$-0.36,0.0
2019-06-30,0.94,$-0.02,0.0
2019-03-31,1.04,$-0.08,0.0
2018-12-31,0.38,$-0.08,0.0
2018-09-30,0.68,$-0.40,0.0
2018-06-30,0.92,$-0.86,0.0
2018-03-31,1.35,$-0.91,0.0
2017-12-31,1.48,$-0.91,0.0
2017-09-30,1.5,$-0.44,0.0
2017-06-30,1.35,$-0.60,0.0
2017-03-31,1.35,$-0.57,0.0
2016-12-31,1.41,$-0.58,0.0
2016-09-30,2.25,$-0.70,0.0
2016-06-30,2.6,$-0.38,0.0
2016-03-31,2.34,$-0.31,0.0
2015-12-31,2.81,$-0.12,0.0
2015-09-30,2.31,$1.37,1.69
2015-06-30,3.24,$1.37,2.36
2015-03-31,3.52,$4.39,0.8
2014-12-31,1.85,$3.58,0.52
2014-09-30,2.99,$2.21,1.35
2014-06-30,2.35,$2.21,1.06
2014-03-31,3.0,$-1.54,0.0
2013-12-31,2.22,$-2.60,0.0
2013-09-30,2.32,$-4.60,0.0
2013-06-30,1.12,$-4.60,0.0
2013-03-31,1.18,$-5.99,0.0
2012-12-31,1.59,$-5.45,0.0
2012-09-30,3.05,$-3.60,0.0
2012-06-30,2.9,$-3.60,0.0
2012-03-31,5.15,$-2.00,0.0
2011-12-31,3.15,$-1.05,0.0
2011-09-30,4.1,$-1.20,0.0
2011-06-30,5.05,$-1.20,0.0
2011-03-31,9.05,$-2.05,0.0
2010-12-31,9.65,$-1.95,0.0
2010-09-30,9.15,$-1.95,0.0
2010-06-30,8.7,$-1.95,0.0
2010-03-31,12.05,$-0.95,0.0
2009-12-31,13.9,$-1.25,0.0
