Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.16,,42.05
2024-12-31,37.45,$0.86,43.55
2024-09-30,38.74,$0.76,50.97
2024-06-30,36.03,$0.72,50.04
2024-03-31,36.63,$0.69,53.08
2023-12-31,28.96,$0.95,30.49
2023-09-30,27.09,$1.12,24.19
2023-06-30,30.31,$1.25,24.25
2023-03-31,33.06,$1.53,21.61
2022-12-31,30.48,$1.44,21.17
2022-09-30,24.76,$1.29,19.19
2022-06-30,26.81,$1.19,22.53
2022-03-31,34.73,$1.03,33.71
2021-12-31,33.16,$0.76,43.64
2021-09-30,25.39,$0.45,56.43
2021-06-30,25.06,$0.61,41.09
2021-03-31,23.04,$0.60,38.4
2020-12-31,20.3,$0.76,26.71
2020-09-30,19.21,$1.16,16.56
2020-06-30,20.27,$1.02,19.87
2020-03-31,16.83,$0.97,17.35
2019-12-31,21.45,$1.00,21.45
2019-09-30,21.4,$1.06,20.18
2019-06-30,22.83,$1.41,16.19
2019-03-31,22.52,$1.61,13.99
2018-12-31,22.73,$1.62,14.03
2018-09-30,25.32,$0.67,37.79
2018-06-30,23.02,$0.49,46.98
2018-03-31,20.29,$0.63,32.2
2017-12-31,23.6,$0.81,29.13
2017-09-30,22.96,$1.72,13.35
2017-06-30,22.92,$1.71,13.4
2017-03-31,22.8,$1.60,14.25
2016-12-31,23.07,$1.55,14.88
2016-09-30,19.57,$1.55,12.63
2016-06-30,18.21,$1.61,11.31
2016-03-31,20.57,$1.65,12.47
2015-12-31,22.17,$1.61,13.77
2015-09-30,20.58,$-0.71,0.0
2015-06-30,20.71,$-0.99,0.0
2015-03-31,17.94,$-0.93,0.0
2014-12-31,17.66,$-0.90,0.0
2014-09-30,17.45,$1.21,14.42
2014-06-30,19.25,$1.17,16.45
2014-03-31,20.2,$0.90,22.45
2013-12-31,17.7,$0.86,20.58
2013-09-30,15.58,$0.75,20.77
2013-06-30,15.14,$0.59,25.67
2013-03-31,14.54,$0.51,28.51
2012-12-31,15.43,$0.36,42.85
2012-09-30,13.42,$0.35,38.34
2012-06-30,12.79,$0.48,26.65
2012-03-31,17.94,$0.58,30.94
2011-12-31,16.01,$0.79,20.26
2011-09-30,13.54,$0.96,14.1
2011-06-30,24.71,$1.05,23.53
2011-03-31,33.0,$1.08,30.56
2010-12-31,28.96,$1.14,25.4
2010-09-30,23.8,$1.03,23.11
2010-06-30,17.9,$0.94,19.04
2010-03-31,24.06,$0.73,32.96
2009-12-31,20.92,$0.42,49.8
