First United PE Ratio Historical Data,First United PE Ratio Historical Data,First United PE Ratio Historical Data,First United PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.27,,12.71
2024-09-30,29.63,$2.46,12.05
2024-06-30,20.11,$2.24,8.98
2024-03-31,22.36,$2.15,10.4
2023-12-31,22.74,$2.24,10.15
2023-09-30,15.5,$3.02,5.13
2023-06-30,13.46,$3.39,3.97
2023-03-31,15.72,$3.55,4.43
2022-12-31,18.16,$3.76,4.83
2022-09-30,15.16,$3.86,3.93
2022-06-30,17.04,$3.48,4.9
2022-03-31,20.33,$3.32,6.12
2021-12-31,16.8,$2.95,5.7
2021-09-30,16.53,$2.53,6.53
2021-06-30,15.35,$2.57,5.97
2021-03-31,15.38,$2.28,6.74
2020-12-31,13.43,$2.04,6.58
2020-09-30,10.04,$1.73,5.81
2020-06-30,11.31,$1.66,6.82
2020-03-31,12.0,$1.66,7.23
2019-12-31,20.12,$1.85,10.88
2019-09-30,18.27,$1.78,10.27
2019-06-30,16.3,$1.54,10.58
2019-03-31,14.2,$1.60,8.88
2018-12-31,13.03,$1.51,8.63
2018-09-30,15.31,$0.98,15.62
2018-06-30,16.58,$0.84,19.73
2018-03-31,15.49,$0.71,21.82
2017-12-31,14.04,$0.58,24.2
2017-09-30,13.43,$0.93,14.44
2017-06-30,12.02,$0.97,12.39
2017-03-31,11.7,$0.87,13.45
2016-12-31,12.87,$0.84,15.32
2016-09-30,9.99,$1.60,6.24
2016-06-30,7.94,$1.51,5.26
2016-03-31,8.83,$1.39,6.36
2015-12-31,9.44,$1.31,7.21
2015-09-30,6.62,$0.55,12.03
2015-06-30,6.99,$0.45,15.53
2015-03-31,7.37,$0.44,16.76
2014-12-31,6.9,$0.48,14.37
2014-09-30,6.4,$0.38,16.84
2014-06-30,7.08,$0.50,14.15
2014-03-31,6.13,$0.66,9.29
2013-12-31,6.19,$0.75,8.25
2013-09-30,6.62,$1.07,6.19
2013-06-30,6.13,$1.25,4.91
2013-03-31,6.69,$1.22,5.48
2012-12-31,5.78,$0.48,12.05
2012-09-30,5.08,$0.17,29.9
2012-06-30,3.48,$-0.18,0.0
2012-03-31,4.84,$-0.26,0.0
2011-12-31,2.55,$0.33,7.73
2011-09-30,2.95,$-0.53,0.0
2011-06-30,4.01,$-0.59,0.0
2011-03-31,2.49,$-0.92,0.0
2010-12-31,2.77,$-1.91,0.0
2010-09-30,3.35,$-2.70,0.0
2010-06-30,3.13,$-3.66,0.0
2010-03-31,4.81,$-3.33,0.0
2009-12-31,4.73,$-2.08,0.0
