Siga Technologies PE Ratio Historical Data,Siga Technologies PE Ratio Historical Data,Siga Technologies PE Ratio Historical Data,Siga Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.64,,29.68
2024-12-31,6.01,$0.19,31.63
2024-09-30,6.75,$1.20,5.63
2024-06-30,7.59,$1.17,6.49
2024-03-31,8.56,$1.10,7.78
2023-12-31,5.22,$0.95,5.5
2023-09-30,4.9,$-0.07,0.0
2023-06-30,4.71,$0.39,12.08
2023-03-31,4.98,$0.46,10.82
2022-12-31,6.37,$0.46,13.85
2022-09-30,8.92,$1.45,6.15
2022-06-30,10.03,$0.96,10.44
2022-03-31,5.78,$0.93,6.22
2021-12-31,6.14,$0.92,6.67
2021-09-30,6.03,$0.20,30.15
2021-06-30,5.12,$0.55,9.32
2021-03-31,5.3,$0.81,6.55
2020-12-31,5.93,$0.72,8.24
2020-09-30,5.61,$0.40,14.01
2020-06-30,4.82,$0.06,80.37
2020-03-31,3.9,$-0.25,0.0
2019-12-31,3.89,$-0.16,0.0
2019-09-30,4.18,$0.54,7.74
2019-06-30,4.63,$5.28,0.88
2019-03-31,4.9,$5.24,0.94
2018-12-31,6.45,$5.11,1.26
2018-09-30,5.62,$4.47,1.26
2018-06-30,4.85,$-0.24,0.0
2018-03-31,5.0,$-0.25,0.0
2017-12-31,1.67,$-0.21,0.0
2017-09-30,1.67,$-0.36,0.0
2017-06-30,1.67,$-0.53,0.0
2017-03-31,1.67,$-0.61,0.0
2016-12-31,1.67,$-0.69,0.0
2016-09-30,1.67,$-0.92,0.0
2016-06-30,1.67,$-0.85,0.0
2016-03-31,1.67,$-0.79,0.0
2015-12-31,1.67,$-0.73,0.0
2015-09-30,1.67,$-0.71,0.0
2015-06-30,1.67,$-5.10,0.0
2015-03-31,1.67,$-5.04,0.0
2014-12-31,1.17,$-4.97,0.0
2014-09-30,1.18,$-4.69,0.0
2014-06-30,2.3,$-0.29,0.0
2014-03-31,2.53,$-0.29,0.0
2013-12-31,2.67,$-0.32,0.0
2013-09-30,3.12,$-0.30,0.0
2013-06-30,2.32,$-0.27,0.0
2013-03-31,2.92,$-0.29,0.0
2012-12-31,2.14,$-0.28,0.0
2012-09-30,2.61,$-0.33,0.0
2012-06-30,2.33,$-0.27,0.0
2012-03-31,2.74,$0.25,10.97
2011-12-31,2.06,$0.24,8.57
2011-09-30,2.67,$0.06,44.47
2011-06-30,7.95,$-0.04,0.0
2011-03-31,9.87,$-0.58,0.0
2010-12-31,11.42,$-0.59,0.0
2010-09-30,6.9,$-0.28,0.0
2010-06-30,6.28,$-0.22,0.0
2010-03-31,5.41,$-0.40,0.0
2009-12-31,4.73,$-0.49,0.0
