Victoria's Secret PE Ratio Historical Data,Victoria's Secret PE Ratio Historical Data,Victoria's Secret PE Ratio Historical Data,Victoria's Secret PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.75,,11.04
2025-01-31,36.36,$1.97,18.46
2024-10-31,30.26,$1.93,15.68
2024-07-31,17.75,$1.72,10.32
2024-04-30,17.62,$1.30,13.55
2024-01-31,26.05,$1.36,19.15
2023-10-31,17.88,$1.17,15.28
2023-07-31,20.49,$2.38,8.61
2023-04-30,31.01,$3.23,9.6
2023-01-31,42.15,$4.15,10.16
2022-10-31,37.6,$4.75,7.92
2022-07-31,36.96,$5.27,7.01
