Monopar Therapeutics PE Ratio Historical Data,Monopar Therapeutics PE Ratio Historical Data,Monopar Therapeutics PE Ratio Historical Data,Monopar Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.74,,0.0
2024-09-30,6.74,$-1.97,0.0
2024-06-30,3.65,$-2.30,0.0
2024-03-31,3.41,$-2.60,0.0
2023-12-31,1.7,$-3.05,0.0
2023-09-30,3.1,$-3.55,0.0
2023-06-30,4.28,$-3.80,0.0
2023-03-31,6.95,$-4.10,0.0
2022-12-31,11.85,$-4.10,0.0
2022-09-30,7.6,$-4.05,0.0
2022-06-30,11.5,$-4.10,0.0
2022-03-31,12.75,$-3.85,0.0
2021-12-31,16.05,$-3.70,0.0
2021-09-30,24.35,$-3.60,0.0
2021-06-30,29.45,$-3.95,0.0
2021-03-31,31.0,$-3.80,0.0
2020-12-31,30.6,$-3.50,0.0
2020-09-30,26.76,$-3.20,0.0
