Kohl's PE Ratio Historical Data,Kohl's PE Ratio Historical Data,Kohl's PE Ratio Historical Data,Kohl's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.54,,15.53
2025-01-31,13.21,$0.55,24.02
2024-10-31,17.87,$2.22,8.05
2024-07-31,20.42,$2.55,8.01
2024-04-30,22.07,$2.48,8.9
2024-01-31,23.3,$2.85,8.17
2023-10-31,19.97,$-1.31,0.0
2023-07-31,24.7,$-1.02,0.0
2023-04-30,18.7,$-0.43,0.0
2023-01-31,26.87,$-0.45,0.0
2022-10-31,24.43,$4.24,5.76
2022-07-31,23.36,$5.07,4.61
2022-04-30,45.9,$6.44,7.13
2022-01-31,46.91,$6.42,7.31
2021-10-31,37.95,$6.42,5.91
2021-07-31,39.54,$4.69,8.43
2021-04-30,45.45,$2.51,18.11
2021-01-31,34.0,$-1.08,0.0
2020-10-31,16.43,$-1.56,0.0
2020-07-31,14.69,$-0.70,0.0
2020-04-30,14.25,$0.51,27.93
2020-01-31,31.68,$4.39,7.22
2019-10-31,37.46,$4.34,8.63
2019-07-31,38.85,$4.54,8.56
2019-04-30,50.58,$4.79,10.56
2019-01-31,48.4,$4.86,9.96
2018-10-31,52.85,$6.00,8.81
2018-07-31,51.16,$5.72,8.94
2018-04-30,42.69,$5.20,8.21
2018-01-31,44.09,$5.14,8.58
2017-10-31,28.11,$3.77,7.46
2017-07-31,27.46,$3.90,7.04
2017-04-30,25.55,$3.43,7.45
2017-01-31,25.71,$3.13,8.21
2016-10-31,27.98,$3.27,8.56
2016-07-31,26.3,$3.07,8.57
2016-04-30,27.64,$2.96,9.34
2016-01-31,30.73,$3.50,8.78
2015-10-31,28.22,$3.75,7.52
2015-07-31,37.19,$3.82,9.73
2015-04-30,43.14,$4.29,10.06
2015-01-31,35.74,$4.26,8.39
2014-10-31,32.23,$3.99,8.08
2014-07-31,31.61,$4.10,7.71
2014-04-30,32.12,$4.01,8.01
2014-01-31,29.47,$4.07,7.24
2013-10-31,32.85,$4.17,7.88
2013-07-31,30.44,$4.27,7.13
2013-04-30,26.86,$4.23,6.35
2013-01-31,26.22,$4.20,6.24
2012-10-31,29.96,$4.35,6.89
2012-07-31,27.79,$4.24,6.55
2012-04-30,27.82,$4.33,6.42
2012-01-31,25.35,$4.43,5.72
2011-10-31,29.08,$4.28,6.79
2011-07-31,29.84,$4.11,7.26
2011-04-30,28.61,$3.86,7.41
2011-01-31,27.43,$3.77,7.28
2010-10-31,27.67,$3.51,7.88
2010-07-31,25.76,$3.51,7.34
2010-04-30,29.71,$3.42,8.69
2010-01-31,27.21,$3.23,8.42
2009-10-31,30.91,$2.93,10.55
