Cingulate PE Ratio Historical Data,Cingulate PE Ratio Historical Data,Cingulate PE Ratio Historical Data,Cingulate PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.09,,0.0
2024-09-30,5.04,$-14.50,0.0
2024-06-30,0.32,$-84.70,0.0
2024-03-31,1.1,$-216.09,0.0
2023-12-31,7.65,$-292.92,0.0
2023-09-30,0.71,$-391.36,0.0
2023-06-30,0.93,$-405.76,0.0
2023-03-31,0.99,$-355.34,0.0
2022-12-31,1.0,$-376.95,0.0
2022-09-30,1.07,$-355.34,0.0
