Eos Energy Enterprises PE Ratio Historical Data,Eos Energy Enterprises PE Ratio Historical Data,Eos Energy Enterprises PE Ratio Historical Data,Eos Energy Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.26,,0.0
2024-12-31,4.86,$-4.45,0.0
2024-09-30,2.97,$-2.41,0.0
2024-06-30,1.27,$-0.69,0.0
2024-03-31,1.03,$-1.56,0.0
2023-12-31,1.09,$-2.15,0.0
2023-09-30,2.15,$-2.67,0.0
2023-06-30,4.34,$-3.74,0.0
2023-03-31,2.57,$-3.63,0.0
2022-12-31,1.48,$-3.66,0.0
2022-09-30,1.67,$-3.55,0.0
2022-06-30,1.21,$-2.77,0.0
2022-03-31,4.18,$-2.80,0.0
2021-12-31,7.52,$-2.37,0.0
2021-09-30,14.03,$-8.84,0.0
2021-06-30,17.96,$-8.50,0.0
2021-03-31,19.72,$-7.46,0.0
