CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.96,,22.62
2024-12-31,31.73,$1.59,19.96
2024-09-30,29.23,$1.51,19.36
2024-06-30,30.54,$1.61,18.97
2024-03-31,27.9,$1.42,19.65
2023-12-31,27.77,$1.36,20.42
2023-09-30,25.91,$1.25,20.73
2023-06-30,27.94,$1.15,24.3
2023-03-31,28.05,$1.26,22.27
2022-12-31,28.37,$1.59,17.85
2022-09-30,26.5,$2.41,11.0
2022-06-30,27.66,$2.43,11.38
2022-03-31,28.5,$2.52,11.31
2021-12-31,25.79,$2.26,11.41
2021-09-30,22.59,$1.52,14.86
2021-06-30,22.38,$1.33,16.83
2021-03-31,20.54,$1.07,19.2
2020-12-31,19.48,$-1.93,0.0
2020-09-30,17.31,$-1.95,0.0
2020-06-30,16.58,$-1.61,0.0
2020-03-31,13.6,$-1.39,0.0
2019-12-31,23.74,$1.33,17.85
2019-09-30,25.97,$1.26,20.61
2019-06-30,24.64,$1.14,21.61
2019-03-31,26.16,$0.64,40.88
2018-12-31,23.84,$0.74,32.21
2018-09-30,23.11,$3.55,6.51
2018-06-30,22.93,$3.59,6.39
2018-03-31,22.43,$4.07,5.51
2017-12-31,22.98,$4.13,5.56
2017-09-30,23.45,$1.37,17.12
2017-06-30,21.78,$1.39,15.67
2017-03-31,21.72,$1.07,20.3
2016-12-31,19.21,$0.99,19.41
2016-09-30,17.91,$-0.42,0.0
2016-06-30,18.3,$-1.74,0.0
2016-03-31,15.77,$-1.55,0.0
2015-12-31,13.64,$-1.61,0.0
2015-09-30,13.21,$-0.02,0.0
2015-06-30,13.76,$1.22,11.28
2015-03-31,14.58,$1.29,11.3
2014-12-31,16.54,$1.42,11.65
2014-09-30,17.11,$1.27,13.47
2014-06-30,17.69,$1.29,13.71
2014-03-31,16.24,$0.81,20.05
2013-12-31,15.73,$0.72,21.85
2013-09-30,16.14,$0.77,20.96
2013-06-30,15.67,$0.44,35.62
2013-03-31,15.85,$0.96,16.51
2012-12-31,12.61,$0.96,13.14
2012-09-30,13.81,$0.92,15.01
2012-06-30,13.27,$3.17,4.19
2012-03-31,12.53,$3.16,3.97
2011-12-31,12.63,$3.17,3.98
2011-09-30,12.21,$3.19,3.83
2011-06-30,11.92,$1.21,9.85
2011-03-31,10.7,$1.13,9.47
2010-12-31,9.46,$1.07,8.84
2010-09-30,9.35,$1.05,8.9
2010-06-30,7.72,$1.07,7.22
2010-03-31,8.31,$1.11,7.49
2009-12-31,8.28,$1.01,8.2
