Merchants Bancorp PE Ratio Historical Data,Merchants Bancorp PE Ratio Historical Data,Merchants Bancorp PE Ratio Historical Data,Merchants Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.92,,6.17
2024-12-31,36.47,$6.31,5.78
2024-09-30,44.86,$6.04,7.43
2024-06-30,40.36,$6.55,6.16
2024-03-31,42.89,$6.37,6.73
2023-12-31,42.2,$5.64,7.48
2023-09-30,27.42,$5.18,5.29
2023-06-30,25.23,$4.72,5.35
2023-03-31,25.61,$4.52,5.67
2022-12-31,23.84,$4.47,5.33
2022-09-30,22.56,$5.06,4.46
2022-06-30,22.1,$5.06,4.37
2022-03-31,26.61,$5.00,5.32
2021-12-31,30.6,$5.33,5.74
2021-09-30,25.46,$4.92,5.18
2021-06-30,25.25,$4.89,5.16
2021-03-31,26.93,$4.71,5.71
2020-12-31,17.7,$3.85,4.59
2020-09-30,12.59,$3.17,3.98
2020-06-30,11.77,$2.37,4.96
2020-03-31,9.61,$1.84,5.23
2019-12-31,12.41,$1.58,7.86
2019-09-30,10.38,$1.31,7.94
2019-06-30,10.64,$1.27,8.36
2019-03-31,13.38,$1.28,10.45
2018-12-31,12.38,$1.39,8.92
2018-09-30,15.72,$1.53,10.25
