Sleep Number PE Ratio Historical Data,Sleep Number PE Ratio Historical Data,Sleep Number PE Ratio Historical Data,Sleep Number PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.31,,0.0
2024-12-31,15.24,$-0.90,0.0
2024-09-30,18.32,$-1.81,0.0
2024-06-30,9.57,$-1.77,0.0
2024-03-31,16.03,$-1.52,0.0
2023-12-31,14.83,$-0.68,0.0
2023-09-30,24.59,$0.20,122.95
2023-06-30,27.28,$0.52,52.46
2023-03-31,30.41,$2.03,14.98
2022-12-31,25.98,$1.61,16.14
2022-09-30,33.81,$2.32,14.57
2022-06-30,30.95,$4.32,7.16
2022-03-31,50.71,$3.66,13.86
2021-12-31,76.6,$6.08,12.6
2021-09-30,93.48,$7.80,11.98
2021-06-30,109.95,$7.37,14.92
2021-03-31,143.49,$6.04,23.76
2020-12-31,81.86,$4.89,16.74
2020-09-30,48.91,$3.52,13.89
2020-06-30,41.64,$2.67,15.6
2020-03-31,19.16,$3.26,5.88
2019-12-31,49.24,$2.70,18.24
2019-09-30,41.32,$2.69,15.36
2019-06-30,40.39,$2.27,17.79
2019-03-31,47.0,$2.23,21.08
2018-12-31,31.73,$1.95,16.27
2018-09-30,36.78,$1.53,24.04
2018-06-30,29.02,$1.63,17.8
2018-03-31,35.15,$1.51,23.28
2017-12-31,37.59,$1.55,24.25
2017-09-30,31.05,$1.41,22.02
2017-06-30,35.49,$1.35,26.29
2017-03-31,24.79,$1.40,17.71
2016-12-31,22.62,$1.11,20.38
2016-09-30,21.6,$0.44,49.09
2016-06-30,21.38,$0.50,42.76
2016-03-31,19.39,$0.68,28.51
2015-12-31,21.41,$0.95,22.54
2015-09-30,21.89,$1.72,12.73
2015-06-30,30.07,$1.54,19.53
2015-03-31,34.47,$1.49,23.13
2014-12-31,27.03,$1.26,21.45
2014-09-30,20.92,$1.03,20.31
2014-06-30,20.66,$0.95,21.75
2014-03-31,18.08,$0.97,18.64
2013-12-31,21.09,$1.08,19.53
2013-09-30,24.35,$1.18,20.64
2013-06-30,25.06,$1.28,19.57
2013-03-31,19.77,$1.40,14.12
2012-12-31,26.17,$1.37,19.1
2012-09-30,31.53,$1.42,22.2
2012-06-30,20.92,$1.27,16.47
2012-03-31,32.39,$1.17,27.68
2011-12-31,21.69,$1.08,20.08
2011-09-30,13.97,$0.94,14.86
2011-06-30,17.98,$0.82,21.93
2011-03-31,12.06,$0.73,16.52
2010-12-31,9.13,$0.57,16.02
2010-09-30,6.78,$1.13,6.0
2010-06-30,8.75,$1.09,8.03
2010-03-31,7.97,$0.89,8.96
2009-12-31,6.52,$0.69,9.45
