Riverview Bancorp Inc PE Ratio Historical Data,Riverview Bancorp Inc PE Ratio Historical Data,Riverview Bancorp Inc PE Ratio Historical Data,Riverview Bancorp Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.39,,134.75
2024-12-31,5.74,$0.04,143.5
2024-09-30,4.69,$0.05,93.79
2024-06-30,3.95,$0.10,39.52
2024-03-31,4.61,$0.18,25.63
2023-12-31,6.19,$0.46,13.47
2023-09-30,5.32,$0.63,8.45
2023-06-30,4.77,$0.75,6.36
2023-03-31,5.0,$0.83,6.02
2022-12-31,7.13,$0.88,8.1
2022-09-30,5.84,$0.89,6.56
2022-06-30,5.99,$0.94,6.38
2022-03-31,6.83,$0.99,6.9
2021-12-31,6.91,$0.95,7.27
2021-09-30,6.48,$0.88,7.36
2021-06-30,6.27,$0.70,8.96
2021-03-31,6.09,$0.46,13.23
2020-12-31,4.58,$0.44,10.4
2020-09-30,3.57,$0.44,8.12
2020-06-30,4.77,$0.53,9.0
2020-03-31,4.19,$0.69,6.07
2019-12-31,6.82,$0.75,9.09
2019-09-30,6.09,$0.76,8.01
2019-06-30,7.01,$0.75,9.35
2019-03-31,5.97,$0.77,7.75
2018-12-31,5.91,$0.71,8.33
2018-09-30,7.15,$0.59,12.12
2018-06-30,6.8,$0.54,12.59
2018-03-31,7.5,$0.46,16.3
2017-12-31,6.94,$0.42,16.52
2017-09-30,6.7,$0.44,15.24
2017-06-30,5.28,$0.37,14.28
2017-03-31,5.67,$0.33,17.19
2016-12-31,5.54,$0.30,18.46
2016-09-30,4.24,$0.29,14.63
2016-06-30,3.71,$0.29,12.81
2016-03-31,3.28,$0.28,11.73
2015-12-31,3.67,$0.29,12.64
2015-09-30,3.69,$0.26,14.19
2015-06-30,3.31,$0.24,13.81
2015-03-31,3.48,$0.20,17.38
2014-12-31,3.46,$0.87,3.98
2014-09-30,3.08,$0.86,3.58
2014-06-30,3.0,$0.83,3.61
2014-03-31,2.65,$0.87,3.04
2013-12-31,2.24,$0.20,11.2
2013-09-30,2.03,$0.21,9.67
2013-06-30,1.94,$0.27,7.18
2013-03-31,2.04,$0.12,16.99
2012-12-31,1.31,$-0.66,0.0
2012-09-30,1.05,$-1.45,0.0
2012-06-30,0.97,$-1.52,0.0
2012-03-31,1.75,$-1.39,0.0
2011-12-31,1.83,$-0.64,0.0
2011-09-30,1.85,$0.13,14.26
2011-06-30,2.37,$0.18,13.17
2011-03-31,2.35,$0.29,8.1
2010-12-31,2.1,$-0.19,0.0
2010-09-30,1.53,$-0.34,0.0
2010-06-30,1.88,$-0.38,0.0
2010-03-31,1.78,$-0.51,0.0
2009-12-31,1.73,$-0.14,0.0
