Red Cat Holdings PE Ratio Historical Data,Red Cat Holdings PE Ratio Historical Data,Red Cat Holdings PE Ratio Historical Data,Red Cat Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.23,,0.0
2024-10-31,3.06,$-0.54,0.0
2024-07-31,2.01,$-0.46,0.0
2024-04-30,1.53,$-0.40,0.0
2024-01-31,0.67,$-0.52,0.0
2023-10-31,0.87,$-0.52,0.0
2023-07-31,1.02,$-0.54,0.0
2023-04-30,0.89,$-0.50,0.0
2023-01-31,1.21,$-0.38,0.0
2022-10-31,1.35,$-0.33,0.0
2022-07-31,2.17,$-0.26,0.0
2022-04-30,2.03,$-0.24,0.0
2022-01-31,1.7,$-0.25,0.0
2021-10-31,2.96,$-0.54,0.0
2021-07-31,3.15,$-0.53,0.0
2021-04-30,4.0,$-0.50,0.0
2021-01-31,0.85,$-0.40,0.0
