Cardlytics PE Ratio Historical Data,Cardlytics PE Ratio Historical Data,Cardlytics PE Ratio Historical Data,Cardlytics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.33,,0.0
2024-12-31,3.71,$-3.55,0.0
2024-09-30,3.2,$-6.11,0.0
2024-06-30,8.21,$-3.84,0.0
2024-03-31,14.49,$-4.42,0.0
2023-12-31,9.21,$-3.46,0.0
2023-09-30,16.5,$-12.22,0.0
2023-06-30,6.32,$-11.40,0.0
2023-03-31,3.4,$-14.48,0.0
2022-12-31,5.78,$-13.99,0.0
2022-09-30,9.4,$-3.02,0.0
2022-06-30,22.31,$-4.56,0.0
2022-03-31,54.98,$-2.24,0.0
2021-12-31,66.09,$-3.98,0.0
2021-09-30,83.94,$-3.87,0.0
2021-06-30,126.93,$-3.08,0.0
2021-03-31,109.7,$-2.38,0.0
2020-12-31,142.77,$-2.04,0.0
2020-09-30,70.57,$-1.68,0.0
2020-06-30,69.98,$-1.45,0.0
2020-03-31,34.96,$-1.01,0.0
2019-12-31,62.86,$-0.78,0.0
2019-09-30,33.52,$-1.43,0.0
2019-06-30,25.98,$-1.50,0.0
2019-03-31,16.54,$-1.85,0.0
2018-12-31,10.83,$-3.11,0.0
