Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,199.01,,32.46
2025-02-28,200.46,$6.13,32.7
2024-11-30,176.27,$8.73,20.19
2024-08-31,156.74,$8.67,18.08
2024-05-31,147.56,$8.52,17.32
2024-02-29,166.12,$8.53,19.47
2023-11-30,151.04,$8.27,18.26
2023-08-31,148.69,$8.03,18.52
2023-05-31,150.36,$8.00,18.8
2023-02-28,134.54,$7.66,17.56
2022-11-30,137.19,$7.25,18.92
2022-08-31,114.39,$7.21,15.87
2022-05-31,114.4,$7.40,15.46
2022-02-28,131.76,$7.94,16.59
2021-11-30,124.22,$6.99,17.77
2021-08-31,134.71,$6.24,21.59
2021-05-31,127.1,$4.77,26.65
2021-02-28,121.14,$-1.87,0.0
2020-11-30,94.96,$-0.96,0.0
2020-08-31,76.0,$-1.49,0.0
2020-05-31,67.4,$-0.40,0.0
2020-02-29,85.5,$5.13,16.67
2019-11-30,103.07,$5.03,20.49
2019-08-31,104.46,$5.75,18.17
2019-05-31,99.72,$5.70,17.49
2019-02-28,95.5,$5.42,17.62
2018-11-30,93.49,$5.36,17.44
2018-08-31,97.47,$5.11,19.07
2018-05-31,72.93,$4.72,15.45
2018-02-28,76.36,$4.31,17.72
2017-11-30,69.39,$3.90,17.79
2017-08-31,67.04,$3.87,17.32
2017-05-31,72.11,$3.81,18.93
2017-02-28,60.16,$3.92,15.35
2016-11-30,58.59,$3.42,17.13
2016-08-31,48.82,$3.11,15.7
2016-05-31,53.24,$2.91,18.3
2016-02-29,49.76,$2.64,18.85
2015-11-30,43.41,$2.87,15.12
2015-08-31,46.55,$2.28,20.42
2015-05-31,44.51,$1.47,30.28
2015-02-28,43.11,$1.30,33.16
2014-11-30,38.04,$1.07,35.55
2014-08-31,31.24,$1.48,21.11
2014-05-31,32.7,$2.15,15.21
2014-02-28,32.94,$2.51,13.13
2013-11-30,34.05,$2.71,12.56
2013-08-31,29.15,$2.82,10.34
2013-05-31,32.34,$3.14,10.3
2013-02-28,28.6,$3.28,8.72
2012-11-30,32.33,$3.51,9.21
2012-08-31,31.47,$3.65,8.62
2012-05-31,31.03,$3.58,8.67
2012-02-29,30.33,$3.42,8.87
2011-11-30,28.11,$3.25,8.65
2011-08-31,28.06,$3.38,8.3
2011-05-31,29.31,$3.40,8.62
2011-02-28,27.09,$3.21,8.44
2010-11-30,27.95,$3.07,9.1
2010-08-31,23.38,$2.97,7.87
2010-05-31,24.11,$2.84,8.49
2010-02-28,22.67,$2.91,7.79
2009-11-30,17.44,$2.75,6.34
