Alpine Income Property Trust PE Ratio Historical Data,Alpine Income Property Trust PE Ratio Historical Data,Alpine Income Property Trust PE Ratio Historical Data,Alpine Income Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.45,,117.5
2024-12-31,16.79,$0.14,119.93
2024-09-30,17.91,$0.22,81.4
2024-06-30,15.08,$-0.04,0.0
2024-03-31,14.54,$-0.04,0.0
2023-12-31,15.81,$0.19,83.23
2023-09-30,15.06,$0.51,29.53
2023-06-30,14.72,$1.28,11.5
2023-03-31,14.99,$2.32,6.46
2022-12-31,16.74,$2.17,7.71
2022-09-30,14.03,$2.47,5.68
2022-06-30,15.27,$1.82,8.39
2022-03-31,15.78,$0.80,19.73
2021-12-31,16.59,$0.79,20.99
2021-09-30,14.98,$0.17,88.14
2021-06-30,15.31,$0.16,95.67
2021-03-31,13.77,$0.16,86.09
2020-12-31,11.73,$0.11,106.64
2020-09-30,11.99,$0.09,133.26
