TNF Pharmaceuticals PE Ratio Historical Data,TNF Pharmaceuticals PE Ratio Historical Data,TNF Pharmaceuticals PE Ratio Historical Data,TNF Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.36,,0.0
2024-09-30,1.62,$-10.79,0.0
2024-06-30,1.84,$-7.88,0.0
2024-03-31,2.39,$-6.64,0.0
2023-12-31,7.76,$-2.70,0.0
2023-09-30,17.76,$-5.41,0.0
2023-06-30,45.0,$-9.91,0.0
2023-03-31,51.6,$-9.31,0.0
2022-12-31,34.5,$-11.41,0.0
2022-09-30,78.3,$-10.81,0.0
2022-06-30,65.1,$-12.61,0.0
2022-03-31,139.8,$-24.92,0.0
2021-12-31,181.8,$-26.73,0.0
2021-09-30,216.0,$-24.62,0.0
2021-06-30,189.0,$-75.98,0.0
2021-03-31,193.2,$-102.40,0.0
2020-12-31,119.4,$-192.79,0.0
2020-09-30,135.0,$-192.79,0.0
2020-06-30,208.8,$-237.76,0.0
2020-03-31,128.1,$-282.73,0.0
2019-12-31,192.0,$-288.06,0.0
2019-09-30,633.6,$-777.76,0.0
2019-06-30,648.0,"$-1,051.41",0.0
2019-03-31,1396.8,"$-1,195.44",0.0
2018-12-31,1627.2,"$-1,440.29",0.0
2018-09-30,3271.68,"$-3,600.72",0.0
2018-06-30,4460.54,"$-4,724.15",0.0
2018-03-31,9560.45,"$-5,415.49",0.0
2017-12-31,1543.68,"$-7,259.06",0.0
2017-09-30,9331.2,"$-6,913.39",0.0
2017-06-30,14400.0,"$-4,724.15",0.0
2017-03-31,20736.0,"$-5,991.60",0.0
2016-12-31,21888.0,"$-7,028.61",0.0
2016-09-30,38694.52,"$-12,674.54",0.0
2016-06-30,37094.4,"$-18,550.92",0.0
2016-03-31,19353.6,"$-21,085.83",0.0
2015-12-31,13939.2,"$-20,855.39",0.0
2015-09-30,36288.0,"$-15,094.23",0.0
2015-06-30,50112.0,"$-12,559.32",0.0
2015-03-31,48844.8,"$-8,987.40",0.0
2014-12-31,45964.8,"$-7,604.73",0.0
