Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.01,,6.86
2024-12-31,9.9,$1.46,6.78
2024-09-30,10.42,$0.88,11.84
2024-06-30,12.18,$0.96,12.69
2024-03-31,12.75,$0.97,13.14
2023-12-31,11.4,$1.08,10.55
2023-09-30,11.44,$1.53,7.48
2023-06-30,13.79,$1.02,13.52
2023-03-31,11.34,$0.71,15.97
2022-12-31,9.84,$-0.51,0.0
2022-09-30,9.38,$2.20,4.26
2022-06-30,9.23,$2.86,3.23
2022-03-31,13.94,$2.84,4.91
2021-12-31,17.03,$4.43,3.84
2021-09-30,11.55,$0.70,16.5
2021-06-30,12.12,$0.85,14.26
2021-03-31,9.99,$0.99,10.09
2020-12-31,7.17,$-0.32,0.0
2020-09-30,5.43,$-0.04,0.0
2020-06-30,4.96,$-0.53,0.0
2020-03-31,3.94,$-0.77,0.0
2019-12-31,7.46,$0.02,373.0
2019-09-30,7.23,$0.41,17.63
2019-06-30,7.95,$0.55,14.46
2019-03-31,6.72,$0.78,8.61
2018-12-31,5.76,$0.92,6.26
2018-09-30,6.84,$1.55,4.41
2018-06-30,8.07,$1.69,4.77
2018-03-31,7.97,$1.93,4.13
2017-12-31,8.76,$1.90,4.61
2017-09-30,8.29,$1.10,7.54
2017-06-30,7.65,$0.95,8.06
2017-03-31,7.86,$0.93,8.45
2016-12-31,8.06,$1.14,7.07
2016-09-30,7.92,$1.81,4.37
2016-06-30,8.16,$2.05,3.98
2016-03-31,8.66,$2.03,4.27
2015-12-31,8.75,$1.65,5.3
2015-09-30,8.34,$1.19,7.01
2015-06-30,9.14,$0.92,9.93
2015-03-31,9.73,$0.77,12.64
2014-12-31,9.25,$0.78,11.86
2014-09-30,8.75,$1.51,5.79
2014-06-30,10.13,$1.61,6.29
2014-03-31,9.09,$1.59,5.72
2013-12-31,8.92,$1.75,5.1
2013-09-30,9.7,$1.41,6.88
2013-06-30,8.84,$1.51,5.85
2013-03-31,7.46,$1.47,5.07
2012-12-31,7.29,$1.42,5.13
2012-09-30,5.53,$4.42,1.25
2012-06-30,5.35,$4.42,1.21
2012-03-31,6.92,$4.75,1.46
2011-12-31,5.95,$5.01,1.19
2011-09-30,5.35,$1.66,3.22
2011-06-30,7.62,$1.68,4.54
2011-03-31,8.24,$1.70,4.85
2010-12-31,9.28,$1.59,5.84
2010-09-30,6.77,$1.79,3.78
2010-06-30,5.57,$1.65,3.38
2010-03-31,6.95,$1.73,4.02
2009-12-31,5.53,$0.63,8.77
