Canadian Natural Resources PE Ratio Historical Data,Canadian Natural Resources PE Ratio Historical Data,Canadian Natural Resources PE Ratio Historical Data,Canadian Natural Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.81,,11.97
2024-09-30,32.63,$2.58,12.67
2024-06-30,34.56,$2.60,13.29
2024-03-31,36.63,$2.51,14.59
2023-12-31,31.12,$2.77,11.23
2023-09-30,30.35,$2.39,12.72
2023-06-30,26.13,$2.55,10.27
2023-03-31,25.4,$3.23,7.86
2022-12-31,25.16,$3.67,6.85
2022-09-30,20.86,$4.03,5.18
2022-06-30,23.3,$3.81,6.12
2022-03-31,26.63,$3.17,8.41
2021-12-31,17.98,$2.59,6.95
2021-09-30,15.38,$1.97,7.81
2021-06-30,15.11,$1.36,11.11
2021-03-31,12.71,$0.74,17.3
2020-12-31,9.78,$-0.13,0.0
2020-09-30,6.42,$-0.18,0.0
2020-06-30,6.87,$0.02,343.53
2020-03-31,5.25,$1.00,5.28
2019-12-31,12.07,$1.70,7.1
2019-09-30,9.84,$1.27,7.78
2019-06-30,9.86,$1.50,6.57
2019-03-31,9.95,$0.93,10.7
2018-12-31,8.64,$0.82,10.6
2018-09-30,11.59,$1.19,9.74
2018-06-30,12.7,$0.85,14.94
2018-03-31,10.99,$0.89,12.42
2017-12-31,12.37,$0.79,15.76
2017-09-30,11.53,$0.85,13.64
2017-06-30,9.86,$0.51,19.33
2017-03-31,11.13,$0.05,247.26
2016-12-31,10.75,$-0.08,0.0
2016-09-30,10.74,$-0.22,0.0
2016-06-30,10.28,$-0.15,0.0
2016-03-31,8.94,$-0.18,0.0
2015-12-31,7.19,$-0.24,0.0
2015-09-30,6.35,$0.15,42.34
2015-06-30,8.8,$0.60,14.66
2015-03-31,9.88,$1.20,8.27
2014-12-31,9.88,$1.55,6.37
2014-09-30,12.34,$1.29,9.6
2014-06-30,14.51,$1.39,10.44
2014-03-31,12.07,$1.16,10.45
2013-12-31,10.59,$0.99,10.69
2013-09-30,9.78,$0.98,10.03
2013-06-30,8.76,$0.63,14.01
2013-03-31,9.91,$0.76,13.13
2012-12-31,8.87,$0.86,10.38
2012-09-30,9.43,$1.08,8.73
2012-06-30,8.2,$1.29,6.35
2012-03-31,10.09,$1.39,7.26
2011-12-31,11.33,$1.22,9.32
2011-09-30,8.85,$0.64,13.83
2011-06-30,12.62,$0.53,23.82
2011-03-31,14.87,$0.39,38.13
2010-12-31,13.34,$0.76,17.61
2010-09-30,10.37,$1.16,8.98
2010-06-30,9.94,$1.18,8.46
2010-03-31,11.05,$0.94,11.76
2009-12-31,10.72,$0.67,16.12
