Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,336.25,,15.24
2024-12-31,362.76,$22.07,16.44
2024-09-30,389.71,$21.57,18.07
2024-06-30,330.56,$21.96,15.05
2024-03-31,362.31,$22.15,16.36
2023-12-31,291.02,$20.14,14.45
2023-09-30,267.31,$17.65,15.15
2023-06-30,239.74,$16.07,14.92
2023-03-31,221.76,$13.53,16.39
2022-12-31,231.02,$12.65,18.26
2022-09-30,157.24,$13.77,11.42
2022-06-30,170.17,$12.50,13.61
2022-03-31,211.03,$11.93,17.69
2021-12-31,194.82,$11.84,16.45
2021-09-30,179.91,$9.35,19.24
2021-06-30,202.85,$7.97,25.45
2021-03-31,215.16,$6.25,34.43
2020-12-31,168.01,$5.46,30.77
2020-09-30,136.83,$6.01,22.77
2020-06-30,115.19,$7.45,15.46
2020-03-31,104.74,$9.44,11.09
2019-12-31,132.37,$10.71,12.36
2019-09-30,112.33,$10.52,10.68
2019-06-30,120.3,$10.74,11.2
2019-03-31,118.88,$10.73,11.08
2018-12-31,110.79,$10.22,10.84
2018-09-30,132.09,$6.26,21.1
2018-06-30,116.8,$5.15,22.68
2018-03-31,126.24,$3.68,34.3
2017-12-31,134.36,$1.26,106.64
2017-09-30,105.71,$1.44,73.41
2017-06-30,90.43,$0.15,602.85
2017-03-31,77.43,$-0.27,0.0
2016-12-31,76.78,$-0.13,0.0
2016-09-30,72.84,$1.72,42.35
2016-06-30,61.61,$1.86,33.13
2016-03-31,61.6,$2.09,29.48
2015-12-31,54.0,$3.44,15.7
2015-09-30,51.38,$4.82,10.66
2015-06-30,66.07,$5.83,11.33
2015-03-31,61.83,$6.24,9.91
2014-12-31,70.13,$5.87,11.95
2014-09-30,75.31,$6.18,12.19
2014-06-30,82.11,$6.00,13.69
2014-03-31,74.65,$5.88,12.7
2013-12-31,67.78,$5.75,11.79
2013-09-30,61.81,$5.25,11.77
2013-06-30,60.72,$6.34,9.58
2013-03-31,63.6,$7.43,8.56
2012-12-31,65.53,$8.49,7.72
2012-09-30,62.18,$9.77,6.36
2012-06-30,60.98,$8.94,6.82
2012-03-31,76.18,$7.92,9.62
2011-12-31,64.51,$7.39,8.73
2011-09-30,52.29,$6.54,8.0
2011-06-30,75.07,$6.05,12.41
2011-03-31,78.2,$5.62,13.91
2010-12-31,65.48,$4.14,15.82
2010-09-30,54.7,$3.03,18.05
2010-06-30,41.48,$2.45,16.93
2010-03-31,43.13,$1.96,22.0
2009-12-31,38.83,$1.41,27.54
