Baytex Energy Corp PE Ratio Historical Data,Baytex Energy Corp PE Ratio Historical Data,Baytex Energy Corp PE Ratio Historical Data,Baytex Energy Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.19,,10.43
2024-12-31,2.58,$0.21,12.29
2024-09-30,2.94,$-0.30,0.0
2024-06-30,3.43,$-0.36,0.0
2024-03-31,3.56,$-0.18,0.0
2023-12-31,3.24,$-0.10,0.0
2023-09-30,4.28,$0.92,4.65
2023-06-30,3.15,$1.17,2.7
2023-03-31,3.63,$1.15,3.15
2022-12-31,0.5,$1.16,0.44
2022-09-30,0.5,$1.47,0.34
2022-06-30,0.5,$1.16,0.44
2022-03-31,0.5,$2.41,0.21
2021-12-31,0.5,$2.28,0.22
2021-09-30,0.5,$1.80,0.28
2021-06-30,0.5,$1.72,0.29
2021-03-31,0.5,$0.04,12.62
2020-12-31,0.5,$-3.24,0.0
2020-09-30,0.34,$-3.70,0.0
2020-06-30,0.49,$-3.65,0.0
2020-03-31,0.23,$-3.36,0.0
2019-12-31,1.4,$-0.01,0.0
2019-09-30,1.43,$-0.17,0.0
2019-06-30,1.49,$-0.14,0.0
2019-03-31,1.63,$-0.44,0.0
2018-12-31,1.7,$-0.67,0.0
2018-09-30,2.81,$0.06,46.91
2018-06-30,3.22,$-0.02,0.0
2018-03-31,2.65,$0.20,13.25
2017-12-31,2.9,$0.45,6.45
2017-09-30,2.91,$-1.20,0.0
2017-06-30,2.35,$-1.32,0.0
2017-03-31,3.31,$-1.67,0.0
2016-12-31,4.72,$-1.71,0.0
2016-09-30,4.11,$-1.94,0.0
2016-06-30,5.6,$-3.70,0.0
2016-03-31,3.84,$-3.49,0.0
2015-12-31,3.13,$-4.75,0.0
2015-09-30,3.1,$-5.00,0.0
2015-06-30,14.76,$-2.32,0.0
2015-03-31,14.76,$-1.96,0.0
2014-12-31,15.28,$-0.35,0.0
2014-09-30,34.15,$1.59,21.48
2014-06-30,40.98,$1.49,27.5
2014-03-31,35.99,$1.52,23.68
2013-12-31,33.73,$1.25,26.99
2013-09-30,34.81,$1.28,27.2
2013-06-30,29.93,$0.83,36.06
2013-03-31,34.24,$1.85,18.51
2012-12-31,34.78,$2.13,16.33
2012-09-30,37.6,$2.37,15.86
2012-06-30,32.88,$2.58,12.75
2012-03-31,39.93,$2.20,18.15
2011-12-31,42.53,$1.85,22.99
2011-09-30,31.35,$1.86,16.85
2011-06-30,40.44,$1.73,23.38
2011-03-31,42.74,$1.09,39.21
2010-12-31,33.9,$1.61,21.05
2010-09-30,25.95,$1.35,19.22
2010-06-30,21.06,$1.39,15.15
2010-03-31,23.49,$1.35,17.4
2009-12-31,19.14,$0.75,25.52
