Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,422.28,,45.8
2024-12-31,462.23,$9.22,50.13
2024-09-30,448.59,$9.13,49.13
2024-06-30,384.3,$8.54,45.0
2024-03-31,352.45,$8.09,43.57
2023-12-31,309.98,$9.93,31.22
2023-09-30,268.7,$9.89,27.17
2023-06-30,288.57,$8.82,32.72
2023-03-31,280.65,$8.00,35.08
2022-12-31,251.94,$7.93,31.77
2022-09-30,218.23,$6.80,32.09
2022-06-30,203.57,$6.93,29.38
2022-03-31,234.32,$7.29,32.14
2021-12-31,261.91,$7.16,36.58
2021-09-30,223.27,$7.23,30.88
2021-06-30,207.79,$6.65,31.25
2021-03-31,179.59,$5.74,31.29
2020-12-31,161.77,$5.45,29.68
2020-09-30,148.53,$4.47,33.23
2020-06-30,132.19,$4.80,27.54
2020-03-31,124.82,$5.20,24.0
2019-12-31,150.64,$4.94,30.49
2019-09-30,158.68,$5.99,26.49
2019-06-30,154.72,$5.91,26.18
2019-03-31,129.84,$5.78,22.46
2018-12-31,105.94,$5.61,18.88
2018-09-30,119.32,$-0.39,0.0
2018-06-30,106.26,$-0.57,0.0
2018-03-31,95.71,$-0.84,0.0
2017-12-31,81.73,$-1.08,0.0
2017-09-30,76.35,$3.91,19.53
2017-06-30,77.6,$3.79,20.47
2017-03-31,76.71,$3.62,21.19
2016-12-31,73.33,$3.27,22.42
2016-09-30,67.1,$3.41,19.68
2016-06-30,57.72,$2.85,20.25
2016-03-31,65.83,$2.92,22.54
2015-12-31,59.19,$3.16,18.73
2015-09-30,58.77,$2.46,23.89
2015-06-30,49.04,$2.48,19.77
2015-03-31,56.69,$5.02,11.29
2014-12-31,56.74,$5.17,10.97
2014-09-30,53.24,$5.61,9.49
2014-06-30,55.7,$6.18,9.01
2014-03-31,53.54,$3.90,13.73
2013-12-31,55.95,$4.09,13.68
2013-09-30,48.98,$3.96,12.37
2013-06-30,47.37,$3.52,13.46
2013-03-31,52.29,$3.19,16.39
2012-12-31,45.28,$3.00,15.09
2012-09-30,40.92,$2.38,17.19
2012-06-30,38.74,$2.04,18.99
2012-03-31,40.74,$2.43,16.76
2011-12-31,36.94,$3.38,10.93
2011-09-30,33.28,$3.68,9.04
2011-06-30,36.37,$5.61,6.48
2011-03-31,35.3,$5.10,6.92
2010-12-31,28.97,$5.13,5.65
2010-09-30,27.24,$4.69,5.81
2010-06-30,20.82,$2.45,8.5
2010-03-31,22.42,$2.03,11.04
2009-12-31,24.78,$-0.14,0.0
