PLBY PE Ratio Historical Data,PLBY PE Ratio Historical Data,PLBY PE Ratio Historical Data,PLBY PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.16,,0.0
2024-12-31,1.46,$-0.91,0.0
2024-09-30,0.76,$-0.96,0.0
2024-06-30,0.78,$-0.71,0.0
2024-03-31,1.05,$-2.26,0.0
2023-12-31,1.0,$-2.61,0.0
2023-09-30,0.8,$-2.78,0.0
2023-06-30,1.68,$-8.23,0.0
2023-03-31,1.98,$-6.63,0.0
2022-12-31,2.75,$-5.93,0.0
2022-09-30,4.03,$-7.04,0.0
2022-06-30,6.4,$-1.57,0.0
2022-03-31,13.09,$-1.63,0.0
2021-12-31,26.64,$-1.92,0.0
2021-09-30,23.57,$-0.59,0.0
