JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,239.01,,12.11
2024-12-31,239.71,$19.74,12.14
2024-09-30,209.62,$17.97,11.66
2024-06-30,199.95,$17.93,11.15
2024-03-31,196.85,$16.56,11.89
2023-12-31,166.15,$16.22,10.24
2023-09-30,140.62,$16.75,8.4
2023-06-30,140.06,$15.54,9.01
2023-03-31,124.52,$13.55,9.19
2022-12-31,127.2,$12.08,10.53
2022-09-30,98.23,$11.84,8.3
2022-06-30,104.92,$12.46,8.42
2022-03-31,126.07,$13.48,9.35
2021-12-31,145.55,$15.35,9.48
2021-09-30,149.58,$15.81,9.46
2021-06-30,141.31,$14.99,9.43
2021-03-31,137.5,$12.59,10.92
2020-12-31,113.96,$8.87,12.85
2020-09-30,85.56,$7.65,11.18
2020-06-30,82.79,$7.41,11.17
2020-03-31,78.4,$8.85,8.86
2019-12-31,120.61,$10.72,11.25
2019-09-30,101.02,$10.13,9.97
2019-06-30,95.29,$9.79,9.73
2019-03-31,85.63,$9.26,9.25
2018-12-31,81.9,$8.98,9.12
2018-09-30,94.02,$8.07,11.65
2018-06-30,86.35,$7.49,11.53
2018-03-31,90.68,$7.02,12.92
2017-12-31,87.73,$6.30,13.93
2017-09-30,77.91,$6.94,11.23
2017-06-30,74.15,$6.76,10.97
2017-03-31,70.86,$6.49,10.92
2016-12-31,69.23,$6.19,11.18
2016-09-30,53.04,$5.80,9.14
2016-06-30,49.11,$5.90,8.32
2016-03-31,46.46,$5.89,7.89
2015-12-31,51.44,$5.99,8.59
2015-09-30,47.16,$5.86,8.05
2015-06-30,52.08,$5.54,9.4
2015-03-31,46.25,$5.46,8.47
2014-12-31,47.47,$5.29,8.97
2014-09-30,45.39,$5.40,8.41
2014-06-30,43.12,$3.87,11.14
2014-03-31,45.14,$4.01,11.26
2013-12-31,43.2,$4.32,10.0
2013-09-30,37.91,$4.41,8.6
2013-06-30,38.44,$5.98,6.43
2013-03-31,34.34,$5.59,6.14
2012-12-31,31.6,$5.31,5.95
2012-09-30,28.88,$4.82,5.99
2012-06-30,25.28,$4.44,5.69
2012-03-31,32.32,$4.50,7.18
2011-12-31,23.21,$4.47,5.19
2011-09-30,20.85,$4.69,4.45
2011-06-30,28.17,$4.68,6.02
2011-03-31,31.55,$4.50,7.01
2010-12-31,29.0,$3.96,7.32
2010-09-30,25.98,$3.58,7.26
2010-06-30,24.96,$3.39,7.36
2010-03-31,30.44,$2.58,11.8
2009-12-31,28.31,$2.24,12.64
