Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,119.84,,32.74
2024-12-31,116.02,$3.66,31.7
2024-09-30,134.64,$3.42,39.37
2024-06-30,134.88,$3.16,42.68
2024-03-31,128.53,$2.81,45.74
2023-12-31,113.4,$2.72,41.69
2023-09-30,89.97,$2.44,36.87
2023-06-30,110.95,$1.88,59.02
2023-03-31,102.81,$2.05,50.15
2022-12-31,108.22,$1.96,55.22
2022-09-30,85.28,$1.76,48.45
2022-06-30,76.07,$2.32,32.79
2022-03-31,82.65,$2.32,35.62
2021-12-31,115.86,$2.35,49.3
2021-09-30,119.24,$2.55,46.76
2021-06-30,115.41,$2.12,54.44
2021-03-31,100.95,$1.67,60.45
2020-12-31,97.42,$1.40,69.58
2020-09-30,80.27,$1.23,65.26
2020-06-30,61.78,$1.39,44.45
2020-03-31,61.71,$1.99,31.01
2019-12-31,74.43,$2.21,33.68
2019-09-30,75.0,$2.80,26.78
2019-06-30,78.53,$3.16,24.85
2019-03-31,73.97,$3.03,24.41
2018-12-31,62.24,$3.03,20.54
2018-09-30,74.27,$2.19,33.91
2018-06-30,62.48,$2.05,30.48
2018-03-31,71.12,$1.96,36.29
2017-12-31,62.88,$1.84,34.17
2017-09-30,57.58,$1.72,33.48
2017-06-30,50.81,$1.55,32.78
2017-03-31,45.88,$1.39,33.01
2016-12-31,45.07,$1.45,31.08
2016-09-30,47.59,$1.80,26.44
2016-06-30,40.39,$1.87,21.6
2016-03-31,36.86,$1.89,19.51
2015-12-31,32.76,$1.87,17.52
2015-09-30,29.37,$1.76,16.69
2015-06-30,33.0,$1.86,17.74
2015-03-31,31.06,$1.92,16.18
2014-12-31,33.63,$1.83,18.38
2014-09-30,31.24,$1.68,18.59
2014-06-30,34.28,$1.49,23.01
2014-03-31,31.84,$1.27,25.07
2013-12-31,30.15,$1.23,24.51
2013-09-30,24.24,$1.25,19.39
2013-06-30,23.27,$1.24,18.76
2013-03-31,23.71,$1.47,16.13
2012-12-31,23.22,$1.59,14.6
2012-09-30,21.46,$1.48,14.5
