Savara PE Ratio Historical Data,Savara PE Ratio Historical Data,Savara PE Ratio Historical Data,Savara PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.86,,0.0
2024-09-30,4.24,$-0.43,0.0
2024-06-30,4.03,$-0.42,0.0
2024-03-31,4.98,$-0.37,0.0
2023-12-31,4.7,$-0.33,0.0
2023-09-30,3.78,$-0.31,0.0
2023-06-30,3.2,$-0.28,0.0
2023-03-31,1.95,$-0.27,0.0
2022-12-31,1.55,$-0.25,0.0
2022-09-30,1.55,$-0.25,0.0
2022-06-30,1.52,$-0.25,0.0
2022-03-31,1.31,$-0.26,0.0
2021-12-31,1.24,$-0.34,0.0
2021-09-30,1.38,$-0.27,0.0
2021-06-30,1.7,$-0.38,0.0
2021-03-31,2.08,$-0.47,0.0
2020-12-31,1.15,$-0.61,0.0
2020-09-30,1.09,$-1.33,0.0
2020-06-30,2.49,$-1.45,0.0
2020-03-31,2.12,$-1.86,0.0
2019-12-31,4.48,$-1.93,0.0
2019-09-30,2.65,$-1.50,0.0
2019-06-30,2.37,$-1.57,0.0
2019-03-31,7.37,$-1.38,0.0
2018-12-31,7.57,$-1.92,0.0
2018-09-30,11.16,$-1.86,0.0
2018-06-30,11.32,$-1.77,0.0
2018-03-31,9.2,$-2.29,0.0
