Mammoth Energy Services PE Ratio Historical Data,Mammoth Energy Services PE Ratio Historical Data,Mammoth Energy Services PE Ratio Historical Data,Mammoth Energy Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.13,,0.0
2024-12-31,3.0,$-4.32,0.0
2024-09-30,4.09,$-4.12,0.0
2024-06-30,3.28,$-3.64,0.0
2024-03-31,3.64,$-0.48,0.0
2023-12-31,4.46,$-0.06,0.0
2023-09-30,4.64,$0.16,29.0
2023-06-30,4.83,$0.34,14.21
2023-03-31,4.22,$0.47,8.98
2022-12-31,8.65,$-0.02,0.0
2022-09-30,3.41,$-0.40,0.0
2022-06-30,2.2,$-1.44,0.0
2022-03-31,2.13,$-2.23,0.0
2021-12-31,1.82,$-2.18,0.0
2021-09-30,2.91,$-2.16,0.0
2021-06-30,4.59,$-1.21,0.0
2021-03-31,5.32,$-0.79,0.0
2020-12-31,4.45,$-2.37,0.0
2020-09-30,1.6,$-3.46,0.0
2020-06-30,1.18,$-4.32,0.0
2020-03-31,0.75,$-4.23,0.0
2019-12-31,2.2,$-1.75,0.0
2019-09-30,2.48,$1.11,2.23
2019-06-30,6.88,$3.44,2.0
2019-03-31,16.51,$4.63,3.57
2018-12-31,17.73,$5.24,3.38
2018-09-30,28.56,$5.21,5.48
2018-06-30,33.22,$3.65,9.1
2018-03-31,31.36,$2.67,11.75
2017-12-31,19.2,$1.30,14.77
2017-09-30,16.49,$-1.75,0.0
