Audioeye PE Ratio Historical Data,Audioeye PE Ratio Historical Data,Audioeye PE Ratio Historical Data,Audioeye PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.49,,0.0
2024-12-31,15.21,$-0.23,0.0
2024-09-30,22.85,$-0.27,0.0
2024-06-30,17.61,$-0.28,0.0
2024-03-31,10.01,$-0.39,0.0
2023-12-31,5.42,$-0.49,0.0
2023-09-30,4.95,$-0.62,0.0
2023-06-30,4.89,$-0.71,0.0
2023-03-31,7.1,$-0.77,0.0
2022-12-31,3.83,$-0.92,0.0
2022-09-30,5.51,$-1.19,0.0
2022-06-30,6.01,$-1.40,0.0
2022-03-31,6.81,$-1.34,0.0
2021-12-31,7.02,$-1.29,0.0
2021-09-30,11.03,$-1.15,0.0
2021-06-30,16.79,$-0.86,0.0
2021-03-31,27.94,$-0.85,0.0
2020-12-31,25.83,$-0.77,0.0
2020-09-30,14.59,$-0.63,0.0
2020-06-30,10.0,$-0.78,0.0
2020-03-31,4.44,$-0.89,0.0
2019-12-31,4.69,$-0.98,0.0
2019-09-30,3.87,$-1.01,0.0
2019-06-30,7.9,$-0.93,0.0
