Mercurity Fintech Holding PE Ratio Historical Data,Mercurity Fintech Holding PE Ratio Historical Data,Mercurity Fintech Holding PE Ratio Historical Data,Mercurity Fintech Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.17,,0.0
2024-06-30,2.1,$-1.53,0.0
2021-12-31,1268.0,$-2.11,0.0
2021-09-30,904.0,$-2.11,0.0
2021-06-30,2056.0,$-1.96,0.0
2021-03-31,2680.0,$-0.69,0.0
2020-12-31,1220.0,$-0.11,0.0
2020-09-30,872.0,$-0.02,0.0
2020-06-30,920.0,$-31.51,0.0
2020-03-31,462.32,$-31.56,0.0
2019-09-30,760.0,$-52.31,0.0
2018-12-31,560.0,$-53.07,0.0
2018-09-30,896.0,$-61.69,0.0
2018-06-30,3440.0,$-62.76,0.0
2018-03-31,6880.0,$-43.33,0.0
2017-12-31,8160.0,$-44.00,0.0
2017-09-30,11760.0,$-6.00,0.0
2017-06-30,17600.0,$-6.89,0.0
2017-03-31,21600.0,$-6.89,0.0
2016-12-31,30080.0,$-6.67,0.0
2016-09-30,31840.0,$-4.44,0.0
2016-06-30,29200.0,$-9.78,0.0
