Astria Therapeutics PE Ratio Historical Data,Astria Therapeutics PE Ratio Historical Data,Astria Therapeutics PE Ratio Historical Data,Astria Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.37,,0.0
2024-12-31,8.94,$-1.23,0.0
2024-09-30,11.01,$-2.09,0.0
2024-06-30,9.1,$-2.30,0.0
2024-03-31,14.08,$-2.32,0.0
2023-12-31,7.68,$-2.34,0.0
2023-09-30,7.46,$-2.20,0.0
2023-06-30,8.33,$-2.44,0.0
2023-03-31,13.3,$-2.85,0.0
2022-12-31,14.89,$-3.63,0.0
2022-09-30,9.04,$-3.64,0.0
2022-06-30,3.0,$-3.38,0.0
2022-03-31,6.71,$-7.86,0.0
2021-12-31,5.39,$-52.27,0.0
2021-09-30,8.84,$-54.24,0.0
2021-06-30,12.66,$-56.99,0.0
2021-03-31,17.34,$-54.83,0.0
2020-12-31,12.84,$-12.24,0.0
2020-09-30,37.14,$-12.84,0.0
2020-06-30,38.58,$-12.84,0.0
2020-03-31,24.9,$-13.38,0.0
2019-12-31,35.46,$-14.10,0.0
2019-09-30,32.4,$-15.90,0.0
2019-06-30,48.42,$-17.34,0.0
2019-03-31,47.52,$-25.62,0.0
2018-12-31,26.22,$-39.29,0.0
2018-09-30,48.0,$-48.59,0.0
2018-06-30,57.54,$-62.39,0.0
2018-03-31,108.6,$-69.59,0.0
2017-12-31,89.4,$-76.78,0.0
2017-09-30,127.2,$-90.58,0.0
2017-06-30,84.6,$-104.38,0.0
2017-03-31,96.0,$-121.78,0.0
2016-12-31,216.6,$-133.77,0.0
2016-09-30,369.6,$-143.37,0.0
2016-06-30,222.0,$-143.97,0.0
2016-03-31,302.4,$-139.17,0.0
