Laird Superfood PE Ratio Historical Data,Laird Superfood PE Ratio Historical Data,Laird Superfood PE Ratio Historical Data,Laird Superfood PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.0,,0.0
2024-12-31,7.88,$-0.19,0.0
2024-09-30,4.96,$-0.14,0.0
2024-06-30,5.62,$-0.40,0.0
2024-03-31,2.4,$-0.76,0.0
2023-12-31,0.91,$-1.10,0.0
2023-09-30,1.03,$-2.80,0.0
2023-06-30,0.8,$-3.15,0.0
2023-03-31,0.81,$-3.31,0.0
2022-12-31,0.84,$-4.41,0.0
2022-09-30,1.82,$-3.48,0.0
2022-06-30,1.91,$-3.44,0.0
2022-03-31,3.61,$-3.60,0.0
2021-12-31,13.04,$-2.65,0.0
2021-09-30,19.08,$-2.40,0.0
2021-06-30,29.87,$-2.67,0.0
