Bloomin' Brands PE Ratio Historical Data,Bloomin' Brands PE Ratio Historical Data,Bloomin' Brands PE Ratio Historical Data,Bloomin' Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.09,,0.0
2024-12-31,12.21,$-1.49,0.0
2024-09-30,16.25,$-0.11,0.0
2024-06-30,18.65,$0.26,71.75
2024-03-31,27.54,$0.64,43.03
2023-12-31,26.81,$2.53,10.6
2023-09-30,23.17,$2.69,8.61
2023-06-30,25.1,$2.58,9.73
2023-03-31,23.7,$1.16,20.43
2022-12-31,18.42,$0.96,19.18
2022-09-30,16.68,$0.94,17.74
2022-06-30,15.02,$0.63,23.85
2022-03-31,19.7,$2.10,9.38
2021-12-31,18.73,$2.00,9.36
2021-09-30,22.32,$1.25,17.85
2021-06-30,24.23,$1.02,23.75
2021-03-31,24.15,$-0.78,0.0
2020-12-31,17.34,$-1.85,0.0
2020-09-30,13.63,$-1.37,0.0
2020-06-30,9.52,$-1.06,0.0
2020-03-31,6.37,$0.31,20.56
2019-12-31,19.49,$1.44,13.54
2019-09-30,16.65,$1.24,13.42
2019-06-30,16.53,$1.17,14.13
2019-03-31,17.79,$1.13,15.74
2018-12-31,15.49,$1.12,13.83
2018-09-30,17.06,$1.17,14.59
2018-06-30,17.25,$1.18,14.62
2018-03-31,20.76,$1.25,16.61
2017-12-31,18.18,$0.98,18.55
2017-09-30,14.92,$0.77,19.38
2017-06-30,17.91,$0.90,19.9
2017-03-31,16.59,$0.47,35.29
2016-12-31,15.09,$0.35,43.11
2016-09-30,14.37,$0.53,27.11
2016-06-30,14.84,$0.48,30.91
2016-03-31,13.96,$0.82,17.02
2015-12-31,13.91,$1.00,13.91
2015-09-30,14.92,$1.03,14.49
2015-06-30,17.48,$0.81,21.58
2015-03-31,19.86,$0.76,26.13
2014-12-31,20.17,$0.71,28.4
2014-09-30,14.94,$1.00,14.94
2014-06-30,18.27,$1.18,15.48
2014-03-31,19.63,$1.55,12.66
2013-12-31,19.56,$1.63,12.0
2013-09-30,19.23,$1.32,14.57
2013-06-30,20.26,$0.92,22.03
