IDACORP PE Ratio Historical Data,IDACORP PE Ratio Historical Data,IDACORP PE Ratio Historical Data,IDACORP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,116.22,,21.21
2024-12-31,109.28,$5.48,19.94
2024-09-30,102.29,$5.39,18.98
2024-06-30,91.67,$5.34,17.17
2024-03-31,90.63,$4.98,18.2
2023-12-31,95.07,$5.14,18.5
2023-09-30,89.77,$5.36,16.75
2023-06-30,97.59,$5.39,18.11
2023-03-31,102.31,$5.31,19.27
2022-12-31,101.1,$5.11,19.78
2022-09-30,92.11,$4.93,18.68
2022-06-30,97.87,$4.76,20.56
2022-03-31,105.82,$4.87,21.73
2021-12-31,103.23,$4.85,21.28
2021-09-30,93.51,$4.94,18.93
2021-06-30,87.6,$5.03,17.42
2021-03-31,89.2,$4.84,18.43
2020-12-31,85.0,$4.69,18.12
2020-09-30,70.17,$4.88,14.38
2020-06-30,76.17,$4.64,16.42
2020-03-31,75.97,$4.50,16.88
2019-12-31,91.87,$4.60,19.97
2019-09-30,96.31,$4.19,22.99
2019-06-30,85.32,$4.43,19.26
2019-03-31,84.57,$4.61,18.34
2018-12-31,78.55,$4.49,17.49
2018-09-30,83.2,$4.74,17.55
2018-06-30,76.86,$4.52,17.0
2018-03-31,73.09,$4.28,17.08
2017-12-31,75.12,$4.22,17.8
2017-09-30,71.84,$4.11,17.48
2017-06-30,69.29,$3.96,17.5
2017-03-31,66.91,$4.09,16.36
2016-12-31,64.52,$3.94,16.38
2016-09-30,62.25,$3.91,15.92
2016-06-30,64.28,$3.72,17.28
2016-03-31,58.52,$3.91,14.97
2015-12-31,52.97,$3.87,13.69
2015-09-30,50.02,$3.93,12.73
2015-06-30,43.07,$4.20,10.25
2015-03-31,47.86,$3.78,12.66
2014-12-31,50.04,$3.86,12.96
2014-09-30,40.23,$3.72,10.81
2014-06-30,43.05,$3.42,12.59
2014-03-31,40.97,$3.44,11.91
2013-12-31,37.97,$3.56,10.67
2013-09-30,35.16,$3.34,10.53
2013-06-30,34.44,$3.75,9.18
2013-03-31,34.54,$3.55,9.73
2012-12-31,30.77,$3.38,9.1
2012-09-30,30.45,$3.23,9.43
2012-06-30,29.38,$3.55,8.28
2012-03-31,28.47,$3.26,8.73
2011-12-31,29.14,$3.36,8.67
2011-09-30,25.77,$3.59,7.18
2011-06-30,26.73,$2.82,9.48
2011-03-31,25.59,$3.22,7.95
2010-12-31,24.64,$2.96,8.32
2010-09-30,23.74,$3.04,7.81
2010-06-30,21.8,$2.81,7.76
2010-03-31,22.5,$2.57,8.76
2009-12-31,20.57,$2.63,7.82
