Comstock Holding PE Ratio Historical Data,Comstock Holding PE Ratio Historical Data,Comstock Holding PE Ratio Historical Data,Comstock Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.78,,11.49
2024-09-30,9.99,$0.59,16.93
2024-06-30,6.37,$0.82,7.77
2024-03-31,5.09,$0.78,6.53
2023-12-31,4.43,$0.76,5.83
2023-09-30,4.76,$0.71,6.7
2023-06-30,4.19,$0.61,6.87
2023-03-31,5.07,$0.86,5.9
2022-12-31,4.25,$0.98,4.34
2022-09-30,3.97,$0.85,4.67
2022-06-30,4.52,$0.81,5.58
2022-03-31,5.97,$1.75,3.41
2021-12-31,4.85,$1.59,3.05
2021-09-30,4.77,$1.64,2.91
2021-06-30,5.98,$1.37,4.36
2021-03-31,5.78,$0.27,21.41
2020-12-31,3.17,$0.24,13.21
2020-09-30,2.46,$0.19,12.95
2020-06-30,2.79,$0.06,46.5
2020-03-31,1.56,$-0.11,0.0
2019-12-31,1.96,$-0.09,0.0
2019-09-30,1.85,$-0.32,0.0
2019-06-30,2.65,$-0.76,0.0
2019-03-31,2.18,$-1.00,0.0
2018-12-31,1.68,$-1.23,0.0
2018-09-30,2.42,$-1.98,0.0
2018-06-30,2.62,$-1.91,0.0
2018-03-31,1.55,$-1.53,0.0
2017-12-31,1.7,$-1.24,0.0
2017-09-30,1.67,$-1.58,0.0
2017-06-30,1.97,$-1.47,0.0
2017-03-31,2.16,$-2.18,0.0
2016-12-31,1.8,$-2.81,0.0
2016-09-30,1.85,$-2.02,0.0
2016-06-30,1.78,$-2.01,0.0
2016-03-31,1.79,$-1.69,0.0
2015-12-31,1.46,$-1.42,0.0
2015-09-30,3.54,$-2.01,0.0
2015-06-30,3.9,$-1.75,0.0
2015-03-31,6.44,$-2.03,0.0
2014-12-31,7.21,$-2.31,0.0
2014-09-30,8.05,$-1.61,0.0
2014-06-30,8.33,$-1.75,0.0
2014-03-31,11.27,$-1.47,0.0
2013-12-31,14.0,$-0.70,0.0
2013-09-30,12.67,$-0.98,0.0
2013-06-30,19.39,$-2.31,0.0
2013-03-31,12.32,$-3.08,0.0
2012-12-31,8.12,$-1.96,0.0
2012-09-30,9.31,$-2.24,0.0
2012-06-30,9.17,$1.61,5.69
2012-03-31,12.67,$2.03,6.24
2011-12-31,7.68,$0.35,21.93
2011-09-30,6.51,$0.77,8.45
2011-06-30,8.05,$-2.80,0.0
2011-03-31,9.17,$-2.87,0.0
2010-12-31,8.05,$-2.87,0.0
2010-09-30,9.59,$-1.82,0.0
2010-06-30,9.8,$0.28,34.99
2010-03-31,7.63,$-10.08,0.0
2009-12-31,5.71,$-10.78,0.0
