Marin Software PE Ratio Historical Data,Marin Software PE Ratio Historical Data,Marin Software PE Ratio Historical Data,Marin Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.42,,0.0
2024-09-30,2.25,$-3.93,0.0
2024-06-30,2.32,$-4.87,0.0
2024-03-31,1.83,$-6.26,0.0
2023-12-31,2.2,$-7.50,0.0
2023-09-30,2.55,$-7.62,0.0
2023-06-30,3.54,$-8.10,0.0
2023-03-31,5.46,$-8.10,0.0
2022-12-31,6.0,$-6.84,0.0
2022-09-30,7.68,$-6.96,0.0
2022-06-30,9.9,$-6.12,0.0
2022-03-31,17.28,$-5.46,0.0
2021-12-31,22.26,$-5.94,0.0
2021-09-30,54.72,$-5.70,0.0
2021-06-30,64.38,$-7.86,0.0
2021-03-31,10.68,$-9.48,0.0
2020-12-31,12.12,$-11.70,0.0
2020-09-30,7.98,$-10.44,0.0
2020-06-30,8.52,$-9.90,0.0
2020-03-31,7.29,$-10.80,0.0
2019-12-31,8.28,$-11.94,0.0
2019-09-30,15.35,$-14.34,0.0
2019-06-30,14.76,$-33.65,0.0
2019-03-31,27.42,$-38.39,0.0
2018-12-31,31.86,$-43.31,0.0
2018-09-30,19.2,$-48.11,0.0
2018-06-30,34.8,$-33.89,0.0
2018-03-31,39.9,$-36.59,0.0
2017-12-31,65.7,$-33.77,0.0
2017-09-30,73.5,$-31.13,0.0
2017-06-30,54.6,$-26.45,0.0
2017-03-31,75.6,$-20.15,0.0
2016-12-31,98.7,$-18.47,0.0
2016-09-30,105.84,$-15.95,0.0
2016-06-30,98.7,$-23.51,0.0
2016-03-31,126.84,$-32.32,0.0
2015-12-31,150.36,$-38.62,0.0
2015-09-30,131.46,$-46.60,0.0
2015-06-30,283.08,$-47.02,0.0
2015-03-31,264.18,$-41.56,0.0
2014-12-31,355.32,$-40.72,0.0
2014-09-30,361.2,$-40.72,0.0
2014-06-30,494.34,$-39.88,0.0
2014-03-31,443.94,$-43.24,0.0
2013-12-31,430.08,$-50.80,0.0
