IGM Biosciences PE Ratio Historical Data,IGM Biosciences PE Ratio Historical Data,IGM Biosciences PE Ratio Historical Data,IGM Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.2,,0.0
2024-12-31,6.11,$-2.63,0.0
2024-09-30,16.54,$-3.64,0.0
2024-06-30,6.87,$-3.67,0.0
2024-03-31,9.65,$-4.31,0.0
2023-12-31,8.31,$-4.81,0.0
2023-09-30,8.35,$-4.99,0.0
2023-06-30,9.23,$-5.27,0.0
2023-03-31,13.74,$-5.17,0.0
2022-12-31,17.01,$-5.37,0.0
2022-09-30,22.74,$-5.68,0.0
2022-06-30,18.03,$-5.68,0.0
2022-03-31,26.73,$-5.51,0.0
2021-12-31,29.33,$-4.93,0.0
2021-09-30,65.76,$-4.22,0.0
2021-06-30,83.2,$-3.56,0.0
2021-03-31,76.69,$-3.02,0.0
2020-12-31,88.29,$-2.65,0.0
2020-09-30,73.81,$-2.35,0.0
2020-06-30,73.0,$-4.10,0.0
