MicroCloud Hologram PE Ratio Historical Data,MicroCloud Hologram PE Ratio Historical Data,MicroCloud Hologram PE Ratio Historical Data,MicroCloud Hologram PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.76,,0.0
2024-06-30,0.82,$-34.00,0.0
2023-12-31,0.35,$-34.00,0.0
2023-03-31,2.22,$-34.00,0.0
2022-12-31,2.27,0,0.0
2022-09-30,8.41,0,0.0
2022-06-30,10.11,0,0.0
