ICC Holdings PE Ratio Historical Data,ICC Holdings PE Ratio Historical Data,ICC Holdings PE Ratio Historical Data,ICC Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-12,23.49,,10.58
2024-09-30,22.93,$2.22,10.33
2024-06-30,22.63,$1.27,17.82
2024-03-31,16.0,$1.72,9.3
2023-12-31,15.3,$1.50,10.2
2023-09-30,16.1,$1.55,10.39
2023-06-30,15.83,$2.01,7.88
2023-03-31,15.5,$0.47,32.98
2022-12-31,15.75,$-0.11,0.0
2022-09-30,15.25,$-0.50,0.0
2022-06-30,16.01,$-0.56,0.0
2022-03-31,17.05,$0.96,17.76
2021-12-31,16.75,$1.39,12.05
2021-09-30,16.5,$2.12,7.78
2021-06-30,16.01,$2.11,7.59
2021-03-31,14.78,$2.19,6.75
2020-12-31,14.3,$1.16,12.33
2020-09-30,11.7,$0.93,12.58
2020-06-30,11.14,$0.80,13.92
2020-03-31,11.02,$0.70,15.75
2019-12-31,14.09,$1.45,9.72
2019-09-30,13.75,$0.47,29.26
2019-06-30,13.86,$0.40,34.65
2019-03-31,13.52,$0.25,54.08
2018-12-31,13.65,$0.36,37.92
2018-09-30,15.01,$0.29,51.76
2018-06-30,15.99,$0.25,63.96
2018-03-31,15.69,$0.17,92.27
2017-12-31,16.27,$0.23,70.74
