CNFinance Holdings PE Ratio Historical Data,CNFinance Holdings PE Ratio Historical Data,CNFinance Holdings PE Ratio Historical Data,CNFinance Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.92,,4.18
2024-06-30,1.62,$0.22,7.36
2023-12-31,2.22,$0.31,7.16
2023-09-30,3.78,$0.33,11.45
2023-06-30,2.92,$0.32,9.13
2023-03-31,2.47,$0.28,8.82
2022-12-31,1.71,$0.29,5.9
2022-09-30,2.52,$-0.01,0.0
2022-06-30,2.55,$-0.06,0.0
2022-03-31,3.22,$0.05,64.4
2021-12-31,4.08,$0.13,31.38
2021-09-30,5.9,$0.59,10.0
2021-06-30,3.72,$0.65,5.72
2021-03-31,3.86,$0.55,7.02
2020-12-31,4.21,$0.23,18.3
2020-09-30,3.14,$0.13,24.19
2020-06-30,3.86,$0.36,10.72
2020-03-31,3.6,$0.62,5.81
2019-12-31,4.0,$1.03,3.88
2019-09-30,6.05,$1.30,4.65
