Thor Industries PE Ratio Historical Data,Thor Industries PE Ratio Historical Data,Thor Industries PE Ratio Historical Data,Thor Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,80.25,,21.29
2025-01-31,102.84,$3.77,27.28
2024-10-31,103.58,$3.91,26.49
2024-07-31,105.64,$4.93,21.43
2024-04-30,98.44,$4.93,19.97
2024-01-31,111.43,$5.04,22.11
2023-10-31,86.35,$5.41,15.96
2023-07-31,112.8,$6.95,16.23
2023-04-30,76.84,$10.42,7.37
2023-01-31,92.18,$14.50,6.36
2022-10-31,78.31,$18.79,4.17
2022-07-31,80.61,$20.60,3.91
2022-04-30,72.76,$19.57,3.72
2022-01-31,89.43,$16.54,5.41
2021-10-31,96.0,$14.13,6.79
2021-07-31,111.0,$11.84,9.37
2021-04-30,132.31,$9.86,13.42
2021-01-31,112.74,$7.00,16.11
2020-10-31,78.45,$5.14,15.26
2020-07-31,105.26,$4.01,26.25
2020-04-30,60.9,$3.54,17.2
2020-01-31,73.3,$3.70,19.81
2019-10-31,57.28,$3.08,18.6
2019-07-31,53.64,$2.42,22.16
2019-04-30,58.89,$2.42,24.33
2019-01-31,57.85,$4.36,13.27
2018-10-31,61.39,$5.97,10.28
2018-07-31,83.15,$8.14,10.22
2018-04-30,92.7,$8.73,10.62
2018-01-31,118.96,$8.31,14.32
2017-10-31,118.29,$8.03,14.73
2017-07-31,91.22,$7.09,12.87
2017-04-30,83.03,$6.40,12.97
2017-01-31,89.05,$5.78,15.41
2016-10-31,68.02,$5.40,12.6
2016-07-31,65.38,$4.87,13.43
2016-04-30,54.43,$4.61,11.81
2016-01-31,44.37,$4.29,10.34
2015-10-31,45.52,$3.98,11.44
2015-07-31,46.77,$3.75,12.47
2015-04-30,50.13,$3.69,13.58
2015-01-31,46.74,$3.55,13.17
2014-10-31,43.66,$3.31,13.19
2014-07-31,43.49,$3.35,12.98
2014-04-30,49.78,$3.19,15.61
2014-01-31,41.85,$2.98,14.04
2013-10-31,46.24,$3.05,15.16
2013-07-31,42.91,$2.86,15.0
2013-04-30,29.34,$2.61,11.24
2013-01-31,33.12,$2.57,12.89
2012-10-31,28.76,$2.45,11.74
2012-07-31,21.62,$2.28,9.48
2012-04-30,25.32,$2.10,12.06
2012-01-31,22.84,$2.04,11.2
2011-10-31,19.59,$1.89,10.36
2011-07-31,18.19,$1.92,9.47
2011-04-30,22.72,$2.04,11.14
2011-01-31,27.15,$1.98,13.71
2010-10-31,22.94,$2.10,10.92
2010-07-31,20.22,$2.08,9.72
2010-04-30,25.86,$1.75,14.78
2010-01-31,22.94,$1.13,20.3
2009-10-31,18.9,$0.64,29.53
