Autoliv PE Ratio Historical Data,Autoliv PE Ratio Historical Data,Autoliv PE Ratio Historical Data,Autoliv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.88,,11.26
2024-12-31,93.79,$8.07,11.62
2024-09-30,92.7,$7.68,12.07
2024-06-30,105.51,$7.51,14.05
2024-03-31,118.12,$6.41,18.43
2023-12-31,107.46,$5.75,18.69
2023-09-30,93.46,$4.84,19.31
2023-06-30,81.83,$4.48,18.27
2023-03-31,89.11,$4.78,18.64
2022-12-31,72.59,$4.86,14.94
2022-09-30,62.68,$4.37,14.34
2022-06-30,66.74,$3.84,17.38
2022-03-31,70.69,$4.12,17.16
2021-12-31,94.77,$4.97,19.07
2021-09-30,78.04,$5.81,13.43
2021-06-30,88.36,$6.25,14.14
2021-03-31,83.39,$3.06,27.25
2020-12-31,82.76,$2.13,38.86
2020-09-30,65.49,$1.76,37.21
2020-06-30,57.97,$1.62,35.78
2020-03-31,41.35,$4.87,8.49
2019-12-31,75.24,$5.28,14.25
2019-09-30,69.77,$2.46,28.36
2019-06-30,61.78,$2.82,21.91
2019-03-31,63.83,$2.00,31.92
2018-12-31,60.5,$2.18,27.75
2018-09-30,74.12,$3.94,18.81
2018-06-30,85.61,$3.64,23.52
2018-03-31,86.87,$4.68,18.56
2017-12-31,75.33,$4.85,15.53
2017-09-30,72.91,$5.80,12.57
2017-06-30,64.41,$6.32,10.19
2017-03-31,59.63,$6.53,9.13
2016-12-31,65.63,$6.42,10.22
2016-09-30,61.58,$6.85,8.99
2016-06-30,61.61,$6.41,9.61
2016-03-31,67.62,$6.28,10.77
2015-12-31,70.83,$5.17,13.7
2015-09-30,61.6,$4.72,13.05
2015-06-30,65.63,$4.76,13.79
2015-03-31,65.91,$4.10,16.07
2014-12-31,59.1,$5.08,11.63
2014-09-30,50.91,$4.47,11.39
2014-06-30,58.72,$4.60,12.76
2014-03-31,55.01,$5.15,10.68
2013-12-31,50.05,$5.06,9.89
2013-09-30,47.38,$5.47,8.66
2013-06-30,41.7,$5.41,7.71
2013-03-31,37.02,$5.30,6.99
2012-12-31,35.83,$5.08,7.05
2012-09-30,32.66,$5.33,6.13
2012-06-30,28.59,$5.58,5.12
2012-03-31,34.78,$5.79,6.01
2011-12-31,27.55,$6.65,4.14
2011-09-30,24.78,$6.84,3.62
2011-06-30,39.75,$6.87,5.79
2011-03-31,37.4,$6.93,5.4
2010-12-31,39.57,$6.39,6.19
2010-09-30,32.59,$5.18,6.29
2010-06-30,23.75,$4.04,5.88
2010-03-31,25.58,$2.20,11.63
2009-12-31,21.52,$-0.09,0.0
