Prosperity Bancshares PE Ratio Historical Data,Prosperity Bancshares PE Ratio Historical Data,Prosperity Bancshares PE Ratio Historical Data,Prosperity Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.54,,13.94
2024-12-31,75.35,$5.06,14.89
2024-09-30,71.55,$4.71,15.19
2024-06-30,60.23,$4.57,13.18
2024-03-31,64.18,$4.34,14.79
2023-12-31,65.48,$4.53,14.45
2023-09-30,52.33,$5.02,10.42
2023-06-30,53.64,$5.31,10.1
2023-03-31,57.88,$5.77,10.03
2022-12-31,67.78,$5.73,11.83
2022-09-30,61.69,$5.60,11.02
2022-06-30,62.7,$5.50,11.4
2022-03-31,63.23,$5.51,11.48
2021-12-31,65.41,$5.62,11.64
2021-09-30,63.89,$5.72,11.17
2021-06-30,64.01,$5.73,11.17
2021-03-31,66.33,$5.73,11.58
2020-12-31,61.06,$5.68,10.75
2020-09-30,45.29,$5.21,8.69
2020-06-30,51.44,$5.00,10.29
2020-03-31,41.49,$4.77,8.7
2019-12-31,61.31,$4.56,13.45
2019-09-30,59.85,$4.74,12.63
2019-06-30,55.65,$4.73,11.77
2019-03-31,57.83,$4.72,12.25
2018-12-31,51.88,$4.61,11.25
2018-09-30,57.38,$4.39,13.07
2018-06-30,56.28,$4.19,13.43
2018-03-31,59.5,$4.01,14.84
2017-12-31,57.14,$3.93,14.54
2017-09-30,53.32,$3.95,13.5
2017-06-30,51.82,$3.96,13.09
2017-03-31,55.95,$3.95,14.16
2016-12-31,57.34,$3.94,14.55
2016-09-30,43.63,$3.96,11.02
2016-06-30,40.3,$3.98,10.13
2016-03-31,36.45,$4.03,9.04
2015-12-31,37.35,$4.10,9.11
2015-09-30,38.1,$4.21,9.05
2015-06-30,44.55,$4.30,10.36
2015-03-31,40.3,$4.35,9.27
2014-12-31,42.3,$4.31,9.81
2014-09-30,43.46,$4.17,10.42
2014-06-30,47.41,$3.98,11.91
2014-03-31,49.9,$3.79,13.17
2013-12-31,47.64,$3.64,13.09
2013-09-30,46.29,$3.51,13.19
2013-06-30,38.63,$3.42,11.29
2013-03-31,35.19,$3.31,10.63
2012-12-31,31.04,$3.22,9.64
2012-09-30,31.34,$3.14,9.98
2012-06-30,30.76,$3.09,9.96
2012-03-31,33.36,$3.06,10.9
2011-12-31,29.26,$3.01,9.72
2011-09-30,23.58,$2.94,8.02
2011-06-30,31.46,$2.86,11.0
2011-03-31,30.57,$2.79,10.96
2010-12-31,27.95,$2.73,10.24
2010-09-30,23.0,$2.68,8.58
2010-06-30,24.49,$2.62,9.35
2010-03-31,28.76,$2.51,11.46
2009-12-31,28.28,$2.40,11.78
