Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,108.07,,45.6
2024-12-31,104.71,$2.37,44.18
2024-09-30,104.45,$2.23,46.84
2024-06-30,103.12,$3.25,31.73
2024-03-31,103.47,$3.15,32.85
2023-12-31,93.52,$3.04,30.76
2023-09-30,90.36,$1.75,51.63
2023-06-30,98.56,$1.80,54.75
2023-03-31,86.69,$1.67,51.91
2022-12-31,78.78,$1.68,46.89
2022-09-30,69.58,$2.99,23.27
2022-06-30,89.97,$3.15,28.56
2022-03-31,96.24,$3.26,29.52
2021-12-31,99.0,$3.31,29.91
2021-09-30,79.52,$3.26,24.39
2021-06-30,81.83,$3.19,25.65
2021-03-31,83.64,$3.07,27.24
2020-12-31,83.27,$3.11,26.78
2020-09-30,89.21,$3.10,28.78
2020-06-30,73.4,$2.87,25.58
2020-03-31,60.75,$2.67,22.75
2019-12-31,66.37,$2.45,27.09
2019-09-30,70.75,$2.44,29.0
2019-06-30,68.5,$2.40,28.54
2019-03-31,66.58,$2.34,28.45
2018-12-31,61.25,$2.27,26.98
2018-09-30,55.11,$3.30,16.7
2018-06-30,49.15,$3.24,15.17
2018-03-31,46.35,$3.04,15.25
2017-12-31,45.97,$2.92,15.74
2017-09-30,44.21,$1.74,25.41
2017-06-30,47.16,$1.69,27.91
2017-03-31,45.16,$1.83,24.75
2016-12-31,39.86,$1.75,22.85
2016-09-30,43.06,$1.74,24.82
2016-06-30,46.14,$1.72,26.9
2016-03-31,41.26,$1.57,26.37
2015-12-31,37.92,$1.54,24.7
2015-09-30,37.33,$1.52,24.64
2015-06-30,35.96,$1.49,24.13
2015-03-31,37.71,$1.54,24.49
2014-12-31,34.65,$1.51,23.02
2014-09-30,30.72,$1.44,21.33
2014-06-30,30.48,$1.40,21.85
2014-03-31,29.96,$1.38,21.79
2013-12-31,28.61,$1.39,20.59
2013-09-30,25.87,$1.35,19.16
2013-06-30,26.52,$1.30,20.4
2013-03-31,27.72,$1.28,21.74
2012-12-31,22.92,$1.23,18.71
2012-09-30,23.04,$1.16,19.87
2012-06-30,23.62,$1.10,21.47
2012-03-31,20.9,$1.11,18.91
2011-12-31,19.39,$1.06,18.25
2011-09-30,18.7,$1.01,18.6
2011-06-30,17.11,$0.98,17.55
2011-03-31,16.73,$0.95,17.66
2010-12-31,14.54,$0.94,15.5
2010-09-30,13.67,$0.96,14.24
2010-06-30,13.19,$0.97,13.67
2010-03-31,14.07,$0.91,15.47
2009-12-31,12.7,$0.85,14.9
