Salarius Pharmaceuticals PE Ratio Historical Data,Salarius Pharmaceuticals PE Ratio Historical Data,Salarius Pharmaceuticals PE Ratio Historical Data,Salarius Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.9,,0.0
2024-09-30,1.44,$-8.17,0.0
2024-06-30,2.38,$-12.61,0.0
2024-03-31,4.23,$-21.68,0.0
2023-12-31,5.2,$-36.24,0.0
2023-09-30,5.26,$-57.12,0.0
2023-06-30,11.92,$-103.20,0.0
2023-03-31,15.28,$-109.76,0.0
2022-12-31,12.24,$-117.92,0.0
2022-09-30,39.0,$-113.28,0.0
2022-06-30,42.0,$-78.00,0.0
2022-03-31,79.62,$-74.00,0.0
2021-12-31,99.12,$-60.00,0.0
2021-09-30,204.0,$-62.00,0.0
2021-06-30,212.0,$-66.00,0.0
2021-03-31,296.0,$-78.00,0.0
2020-12-31,182.0,$-110.00,0.0
2020-09-30,168.78,$-90.00,0.0
2020-06-30,264.0,$-216.00,0.0
2020-03-31,136.14,$-590.00,0.0
2019-12-31,756.0,"$-1,146.00",0.0
2019-09-30,1090.0,"$-1,696.00",0.0
2019-06-30,2764.0,"$-2,300.00",0.0
2019-03-31,1928.5,"$-4,400.00",0.0
2018-12-31,1649.5,"$-6,100.00",0.0
2018-09-30,2324.0,"$-7,850.00",0.0
2018-06-30,4700.0,"$-9,800.00",0.0
2018-03-31,25000.0,"$-9,850.00",0.0
2017-12-31,17450.0,"$-10,000.00",0.0
2017-09-30,17050.0,"$-10,100.00",0.0
2017-06-30,19250.0,"$-10,650.00",0.0
2017-03-31,22000.0,"$-11,650.00",0.0
2016-12-31,26400.0,"$-12,250.00",0.0
2016-09-30,58900.0,"$-12,400.00",0.0
2016-06-30,51050.0,"$-11,800.00",0.0
2016-03-31,54850.0,"$-10,600.00",0.0
2015-12-31,62250.0,"$-10,500.00",0.0
