Carver Bancorp PE Ratio Historical Data,Carver Bancorp PE Ratio Historical Data,Carver Bancorp PE Ratio Historical Data,Carver Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.45,,0.0
2024-12-31,1.84,$-1.92,0.0
2024-09-30,1.92,$-0.83,0.0
2024-06-30,1.41,$-0.75,0.0
2024-03-31,1.53,$-0.64,0.0
2023-12-31,1.97,$-1.00,0.0
2023-09-30,2.17,$-1.25,0.0
2023-06-30,2.67,$-1.14,0.0
2023-03-31,3.99,$-1.02,0.0
2022-12-31,4.11,$-0.67,0.0
2022-09-30,4.0,$-0.29,0.0
2022-06-30,5.76,$0.05,115.2
2022-03-31,7.0,$-0.56,0.0
2021-12-31,8.54,$-0.56,0.0
2021-09-30,17.8,$-1.13,0.0
2021-06-30,10.24,$-1.46,0.0
2021-03-31,9.08,$-0.87,0.0
2020-12-31,6.49,$-0.87,0.0
2020-09-30,6.45,$-0.82,0.0
2020-06-30,6.21,$-0.89,0.0
2020-03-31,1.89,$-0.98,0.0
2019-12-31,2.43,$-0.98,0.0
2019-09-30,3.04,$-0.95,0.0
2019-06-30,3.0,$-1.22,0.0
2019-03-31,3.73,$-1.19,0.0
2018-12-31,2.98,$-0.37,0.0
2018-09-30,4.31,$-0.27,0.0
2018-06-30,4.63,$0.12,38.58
2018-03-31,2.82,$0.23,12.26
2017-12-31,2.91,$-1.14,0.0
2017-09-30,2.29,$-1.19,0.0
2017-06-30,3.4,$-1.10,0.0
2017-03-31,3.66,$-0.89,0.0
2016-12-31,3.22,$-0.51,0.0
2016-09-30,5.12,$-0.08,0.0
2016-06-30,3.72,$-0.05,0.0
2016-03-31,5.22,$-0.04,0.0
2015-12-31,3.75,$0.10,37.5
2015-09-30,6.65,$0.01,665.0
2015-06-30,5.52,$0.11,50.18
2015-03-31,4.64,$0.11,42.18
2014-12-31,6.25,$-0.07,0.0
2014-09-30,9.11,$-0.13,0.0
2014-06-30,10.25,$-0.10,0.0
2014-03-31,12.72,$-0.04,0.0
2013-12-31,6.99,$0.36,19.42
2013-09-30,7.8,$0.52,15.0
2013-06-30,5.44,$0.39,13.95
2013-03-31,4.6,$0.18,25.56
2012-12-31,4.23,$-1.94,0.0
2012-09-30,3.74,$-2.33,0.0
2012-06-30,2.65,$-60.96,0.0
2012-03-31,7.5,$-60.86,0.0
2011-12-31,8.29,$-92.06,0.0
2011-09-30,6.2,$-141.28,0.0
2011-06-30,12.0,$-223.99,0.0
2011-03-31,13.5,$-223.99,0.0
2010-12-31,28.65,$-205.40,0.0
2010-09-30,45.32,$-152.62,0.0
2010-06-30,118.96,$-7.80,0.0
2010-03-31,129.95,$-5.10,0.0
2009-12-31,132.75,$2.25,59.03
