Daktronics PE Ratio Historical Data,Daktronics PE Ratio Historical Data,Daktronics PE Ratio Historical Data,Daktronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.67,,0.0
2025-01-31,16.41,$-0.20,0.0
2024-10-31,13.03,$0.25,52.12
2024-07-31,14.98,$0.08,187.25
2024-04-30,9.45,$0.61,15.49
2024-01-31,7.58,$1.03,7.36
2023-10-31,9.62,$1.02,9.43
2023-07-31,7.19,$0.68,10.57
2023-04-30,4.81,$0.14,34.36
2023-01-31,4.17,$-0.35,0.0
2022-10-31,3.42,$-0.53,0.0
2022-07-31,3.78,$-0.19,0.0
2022-04-30,3.35,$0.01,0.0
2022-01-31,4.9,$0.04,122.5
2021-10-31,5.55,$0.14,39.64
2021-07-31,6.11,$0.17,35.94
2021-04-30,6.17,$0.26,23.73
2021-01-31,4.8,$0.23,20.87
2020-10-31,3.9,$-0.05,0.0
2020-07-31,4.17,$0.03,139.0
2020-04-30,4.52,$0.02,226.0
2020-01-31,5.84,$-0.20,0.0
2019-10-31,6.74,$0.01,673.9
2019-07-31,6.19,$0.04,154.71
2019-04-30,7.34,$-0.02,0.0
2019-01-31,7.22,$0.13,55.58
2018-10-31,6.95,$0.06,115.91
2018-07-31,8.1,$0.03,269.98
2018-04-30,8.42,$0.12,70.19
2018-01-31,8.59,$0.23,37.35
2017-10-31,9.46,$0.25,37.82
2017-07-31,8.94,$0.29,30.82
2017-04-30,8.59,$0.23,37.33
2017-01-31,9.15,$0.14,65.37
2016-10-31,7.47,$0.22,33.96
2016-07-31,5.75,$0.09,63.87
2016-04-30,7.61,$0.05,152.23
2016-01-31,6.93,$0.21,33.01
2015-10-31,8.28,$0.26,31.85
2015-07-31,9.64,$0.37,26.06
2015-04-30,8.97,$0.48,18.7
2015-01-31,10.26,$0.43,23.85
2014-10-31,10.94,$0.49,22.32
2014-07-31,9.05,$0.58,15.61
2014-04-30,10.54,$0.51,20.66
2014-01-31,11.75,$0.51,23.04
2013-10-31,9.56,$0.50,19.12
2013-07-31,8.63,$0.50,17.25
2013-04-30,7.83,$0.53,14.77
2013-01-31,9.3,$0.48,19.37
2012-10-31,6.47,$0.46,14.07
2012-07-31,5.7,$0.28,20.37
2012-04-30,5.9,$0.20,29.51
2012-01-31,7.93,$0.28,28.33
2011-10-31,6.96,$0.28,24.84
2011-07-31,6.84,$0.36,19.0
2011-04-30,7.3,$0.34,21.48
2011-01-31,10.4,$0.15,69.35
2010-10-31,7.44,$-0.09,0.0
2010-07-31,5.51,$-0.14,0.0
2010-04-30,5.35,$-0.17,0.0
2010-01-31,4.99,$-0.04,0.0
2009-10-31,4.8,$0.26,18.48
