Intelligent Bio Solutions PE Ratio Historical Data,Intelligent Bio Solutions PE Ratio Historical Data,Intelligent Bio Solutions PE Ratio Historical Data,Intelligent Bio Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.09,,0.0
2024-12-31,1.4,$-2.63,0.0
2024-09-30,1.73,$-4.20,0.0
2024-06-30,1.92,$-15.99,0.0
2024-03-31,4.22,$-38.91,0.0
2023-12-31,0.34,$-106.15,0.0
2023-09-30,1.03,$-109.60,0.0
2023-06-30,2.78,$-97.12,0.0
2023-03-31,2.9,$-107.80,0.0
2022-12-31,0.2,$-60.74,0.0
2022-09-30,0.42,$-110.44,0.0
2022-06-30,0.66,$-134.45,0.0
2022-03-31,0.78,$-100.84,0.0
2021-12-31,1.44,$-144.06,0.0
2021-09-30,2.52,$-144.06,0.0
