Cadre Holdings PE Ratio Historical Data,Cadre Holdings PE Ratio Historical Data,Cadre Holdings PE Ratio Historical Data,Cadre Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.9,,55.0
2024-12-31,32.3,$0.58,55.69
2024-09-30,37.95,$0.83,45.72
2024-06-30,33.56,$1.03,32.58
2024-03-31,36.2,$1.01,35.84
2023-12-31,32.89,$1.02,32.25
2023-09-30,26.65,$0.94,28.35
2023-06-30,21.8,$0.78,27.95
2023-03-31,21.54,$0.61,35.31
2022-12-31,20.14,$0.12,167.83
2022-09-30,24.06,$0.08,300.75
