Cohen & Steers Inc PE Ratio Historical Data,Cohen & Steers Inc PE Ratio Historical Data,Cohen & Steers Inc PE Ratio Historical Data,Cohen & Steers Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,78.91,,26.57
2024-12-31,92.34,$2.97,31.09
2024-09-30,95.39,$2.68,35.59
2024-06-30,71.62,$2.56,27.98
2024-03-31,75.26,$2.57,29.29
2023-12-31,73.54,$2.60,28.28
2023-09-30,60.22,$2.66,22.64
2023-06-30,55.23,$2.91,18.98
2023-03-31,60.28,$3.33,18.1
2022-12-31,60.37,$3.47,17.4
2022-09-30,58.07,$4.11,14.13
2022-06-30,58.55,$4.26,13.74
2022-03-31,78.48,$4.15,18.91
2021-12-31,83.94,$4.30,19.52
2021-09-30,74.74,$2.91,25.68
2021-06-30,72.87,$2.52,28.92
2021-03-31,57.63,$2.16,26.68
2020-12-31,65.1,$1.58,41.2
2020-09-30,47.8,$2.42,19.75
2020-06-30,57.99,$2.46,23.57
2020-03-31,38.48,$2.52,15.27
2019-12-31,52.8,$2.78,18.99
2019-09-30,44.61,$2.57,17.36
2019-06-30,41.49,$2.52,16.46
2019-03-31,33.85,$2.50,13.54
2018-12-31,27.25,$2.41,11.31
2018-09-30,29.89,$2.30,12.99
2018-06-30,30.46,$2.18,13.97
2018-03-31,29.44,$2.05,14.36
2017-12-31,33.97,$1.95,17.42
2017-09-30,27.58,$2.08,13.26
2017-06-30,28.1,$2.06,13.64
2017-03-31,27.51,$2.09,13.16
2016-12-31,22.95,$1.99,11.53
2016-09-30,28.58,$1.56,18.32
2016-06-30,26.88,$1.42,18.93
2016-03-31,25.69,$1.34,19.17
2015-12-31,19.97,$1.40,14.26
2015-09-30,17.56,$1.61,10.91
2015-06-30,21.61,$1.64,13.17
2015-03-31,25.79,$1.68,15.35
2014-12-31,26.34,$1.66,15.87
2014-09-30,23.41,$1.75,13.38
2014-06-30,26.28,$1.76,14.93
2014-03-31,24.01,$1.61,14.92
2013-12-31,24.01,$1.52,15.8
2013-09-30,20.54,$1.58,13.0
2013-06-30,19.65,$1.40,14.04
2013-03-31,20.75,$1.42,14.61
2012-12-31,17.43,$1.49,11.7
2012-09-30,16.0,$1.36,11.76
2012-06-30,18.45,$1.35,13.67
2012-03-31,16.96,$1.35,12.56
2011-12-31,15.28,$1.24,12.32
2011-09-30,15.12,$1.17,12.92
2011-06-30,16.87,$1.25,13.5
2011-03-31,15.03,$1.16,12.96
2010-12-31,13.15,$1.07,12.29
2010-09-30,10.89,$1.05,10.37
2010-06-30,9.42,$0.93,10.13
2010-03-31,11.29,$0.51,22.14
2009-12-31,10.29,$-0.04,0.0
