Apple Hospitality REIT PE Ratio Historical Data,Apple Hospitality REIT PE Ratio Historical Data,Apple Hospitality REIT PE Ratio Historical Data,Apple Hospitality REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.51,,15.35
2024-12-31,15.35,$0.88,17.44
2024-09-30,14.7,$0.85,17.29
2024-06-30,14.16,$0.88,16.09
2024-03-31,15.78,$0.86,18.35
2023-12-31,15.77,$0.78,20.21
2023-09-30,14.31,$0.70,20.44
2023-06-30,13.87,$0.70,19.82
2023-03-31,14.02,$0.70,20.03
2022-12-31,14.05,$0.64,21.95
2022-09-30,12.21,$0.69,17.7
2022-06-30,12.61,$0.57,22.12
2022-03-31,15.31,$0.37,41.38
2021-12-31,13.72,$0.08,171.53
2021-09-30,13.36,$-0.21,0.0
2021-06-30,12.95,$-0.53,0.0
2021-03-31,12.36,$-0.97,0.0
2020-12-31,10.94,$-0.77,0.0
2020-09-30,8.14,$-0.43,0.0
2020-06-30,8.19,$-0.04,0.0
2020-03-31,7.77,$0.59,13.17
2019-12-31,13.49,$0.77,17.52
2019-09-30,13.51,$0.81,16.68
2019-06-30,12.68,$0.87,14.58
2019-03-31,12.79,$0.88,14.54
2018-12-31,11.06,$0.89,12.42
2018-09-30,13.31,$0.73,18.24
2018-06-30,13.46,$0.74,18.19
2018-03-31,12.94,$0.84,15.4
2017-12-31,14.21,$0.81,17.54
2017-09-30,13.49,$1.01,13.35
2017-06-30,13.2,$0.80,16.5
2017-03-31,13.26,$0.72,18.42
2016-12-31,13.66,$0.77,17.74
2016-09-30,12.46,$0.48,25.95
2016-06-30,12.46,$0.68,18.33
2016-03-31,12.92,$0.61,21.18
