BRAEMAR HOTELS & RESORTS INC PE Ratio Historical Data,BRAEMAR HOTELS & RESORTS INC PE Ratio Historical Data,BRAEMAR HOTELS & RESORTS INC PE Ratio Historical Data,BRAEMAR HOTELS & RESORTS INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.96,,0.0
2024-12-31,3.0,$-0.77,0.0
2024-09-30,3.09,$-0.77,0.0
2024-06-30,2.51,$-1.25,0.0
2024-03-31,1.93,$-1.12,0.0
2023-12-31,2.35,$-1.12,0.0
2023-09-30,2.56,$-0.84,0.0
2023-06-30,3.65,$-0.54,0.0
2023-03-31,3.46,$-0.22,0.0
2022-12-31,3.64,$-0.12,0.0
2022-09-30,3.76,$0.01,0.0
2022-06-30,3.74,$0.06,62.35
2022-03-31,5.38,$-0.38,0.0
2021-12-31,4.43,$-0.81,0.0
2021-09-30,4.21,$-1.52,0.0
2021-06-30,5.39,$-1.92,0.0
2021-03-31,5.27,$-3.01,0.0
2020-12-31,4.0,$-3.21,0.0
2020-09-30,2.17,$-2.08,0.0
2020-06-30,2.48,$-1.90,0.0
2020-03-31,1.48,$-0.71,0.0
2019-12-31,7.76,$-0.34,0.0
2019-09-30,7.93,$-1.15,0.0
2019-06-30,8.22,$-0.90,0.0
2019-03-31,9.97,$-0.39,0.0
2018-12-31,7.2,$-0.21,0.0
2018-09-30,9.33,$0.89,10.48
2018-06-30,8.93,$0.92,9.7
2018-03-31,7.49,$0.54,13.87
2017-12-31,7.38,$0.40,18.44
2017-09-30,7.09,$-0.28,0.0
2017-06-30,7.55,$0.36,20.97
2017-03-31,7.66,$0.49,15.64
2016-12-31,9.71,$0.52,18.67
2016-09-30,9.94,$0.29,34.27
2016-06-30,9.88,$-0.55,0.0
2016-03-31,8.08,$-0.32,0.0
2015-12-31,9.96,$-0.29,0.0
2015-09-30,9.57,$-0.11,0.0
2015-06-30,10.17,$0.31,32.82
2015-03-31,11.29,$0.18,62.7
2014-12-31,11.51,$0.06,191.89
2014-09-30,10.19,$-0.57,0.0
