Greenidge Generation Holdings PE Ratio Historical Data,Greenidge Generation Holdings PE Ratio Historical Data,Greenidge Generation Holdings PE Ratio Historical Data,Greenidge Generation Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.93,,0.0
2024-09-30,1.81,$-1.58,0.0
2024-06-30,2.69,$-2.94,0.0
2024-03-31,3.5,$-3.95,0.0
2023-12-31,6.71,$-5.03,0.0
2023-09-30,4.09,$-37.93,0.0
2023-06-30,2.82,$-41.47,0.0
2023-03-31,0.45,$-66.00,0.0
2022-12-31,0.29,$-64.60,0.0
2022-09-30,2.0,$-42.00,0.0
2022-06-30,2.54,$-39.30,0.0
