Oxford Industries PE Ratio Historical Data,Oxford Industries PE Ratio Historical Data,Oxford Industries PE Ratio Historical Data,Oxford Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,61.13,,68.69
2024-10-31,72.62,$0.89,81.6
2024-07-31,104.46,$1.82,57.4
2024-04-30,106.17,$2.47,42.98
2024-01-31,92.91,$3.69,25.18
2023-10-31,82.05,$9.54,8.6
2023-07-31,104.1,$10.08,10.33
2023-04-30,98.98,$10.35,9.56
2023-01-31,111.72,$10.16,11.0
2022-10-31,96.45,$9.66,9.98
2022-07-31,89.91,$9.98,9.01
2022-04-30,83.89,$9.54,8.79
2022-01-31,76.68,$7.79,9.84
2021-10-31,85.92,$5.55,15.48
2021-07-31,80.19,$3.37,23.8
2021-04-30,83.79,$-0.05,0.0
2021-01-31,59.67,$-5.77,0.0
2020-10-31,37.52,$-4.13,0.0
2020-07-31,38.92,$-3.39,0.0
2020-04-30,37.78,$-1.26,0.0
2020-01-31,62.12,$4.05,15.34
2019-10-31,61.33,$4.14,14.81
2019-07-31,64.84,$4.15,15.63
2019-04-30,73.2,$4.00,18.3
2019-01-31,67.18,$3.94,17.05
2018-10-31,77.71,$4.39,17.7
2018-07-31,80.12,$4.34,18.46
2018-04-30,66.76,$4.09,16.32
2018-01-31,67.99,$3.89,17.48
2017-10-31,55.55,$3.05,18.21
2017-07-31,54.05,$2.89,18.7
2017-04-30,49.42,$2.97,16.64
2017-01-31,46.67,$3.15,14.82
2016-10-31,52.95,$3.60,14.71
2016-07-31,48.08,$3.57,13.47
2016-04-30,55.6,$2.01,27.66
2016-01-31,58.22,$1.84,31.64
2015-10-31,60.44,$1.75,34.54
2015-07-31,69.42,$1.88,36.93
2015-04-30,65.52,$2.92,22.44
2015-01-31,45.97,$2.79,16.48
2014-10-31,50.15,$2.74,18.3
2014-07-31,48.6,$2.79,17.42
2014-04-30,53.68,$2.83,18.97
2014-01-31,61.18,$2.74,22.33
2013-10-31,58.05,$2.15,27.0
2013-07-31,54.59,$2.28,23.94
2013-04-30,47.57,$1.62,29.36
2013-01-31,39.6,$1.89,20.95
2012-10-31,44.36,$2.00,22.18
2012-07-31,34.47,$1.92,17.96
2012-04-30,38.13,$1.78,21.42
2012-01-31,40.33,$1.79,22.53
2011-10-31,31.19,$4.58,6.81
2011-07-31,30.83,$4.81,6.41
2011-04-30,26.93,$5.09,5.29
2011-01-31,18.48,$4.75,3.89
2010-10-31,17.91,$1.77,10.12
2010-07-31,17.34,$1.71,10.14
2010-04-30,16.63,$1.30,12.79
2010-01-31,13.67,$0.96,14.24
2009-10-31,14.77,$-17.45,0.0
