S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,497.2,,40.26
2024-12-31,498.03,$12.35,40.33
2024-09-30,515.72,$11.33,45.52
2024-06-30,444.42,$10.55,42.13
2024-03-31,423.95,$8.92,47.53
2023-12-31,438.04,$8.23,53.23
2023-09-30,362.56,$7.73,46.9
2023-06-30,396.85,$7.24,54.81
2023-03-31,340.44,$8.50,40.05
2022-12-31,329.88,$10.50,31.42
2022-09-30,300.02,$11.96,25.09
2022-06-30,330.44,$13.42,24.62
2022-03-31,401.16,$13.86,28.94
2021-12-31,460.68,$12.51,36.82
2021-09-30,414.07,$11.60,35.7
2021-06-30,399.3,$10.18,39.22
2021-03-31,342.59,$10.16,33.72
2020-12-31,318.39,$9.66,32.96
2020-09-30,348.56,$9.98,34.93
2020-06-30,317.89,$10.60,29.99
2020-03-31,235.92,$9.56,24.68
2019-12-31,262.26,$8.59,30.53
2019-09-30,234.79,$8.42,27.89
2019-06-30,217.84,$7.87,27.68
2019-03-31,200.82,$7.45,26.96
2018-12-31,161.63,$7.73,20.91
2018-09-30,185.31,$6.72,27.58
2018-06-30,192.9,$6.38,30.23
2018-03-31,180.31,$6.18,29.18
2017-12-31,159.45,$5.78,27.59
2017-09-30,146.77,$6.81,21.55
2017-06-30,136.71,$8.56,15.97
2017-03-31,122.07,$8.38,14.57
