PlayAGS PE Ratio Historical Data,PlayAGS PE Ratio Historical Data,PlayAGS PE Ratio Historical Data,PlayAGS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.14,,71.41
2024-12-31,11.53,$0.17,67.82
2024-09-30,11.39,$0.17,67.0
2024-06-30,11.5,$0.11,104.55
2024-03-31,8.98,$0.12,74.83
2023-12-31,8.43,$0.01,843.0
2023-09-30,6.52,$0.07,93.14
2023-06-30,5.65,$0.08,70.63
2023-03-31,7.15,$0.10,71.5
2022-12-31,5.1,$-0.23,0.0
2022-09-30,5.3,$-0.54,0.0
2022-06-30,5.16,$-0.60,0.0
2022-03-31,6.67,$-0.75,0.0
2021-12-31,6.79,$-0.62,0.0
2021-09-30,7.88,$-0.86,0.0
2021-06-30,9.9,$-1.12,0.0
2021-03-31,8.08,$-2.21,0.0
2020-12-31,7.2,$-2.41,0.0
2020-09-30,3.54,$-1.88,0.0
2020-06-30,3.38,$-1.73,0.0
2020-03-31,2.65,$-0.74,0.0
2019-12-31,12.13,$-0.33,0.0
2019-09-30,10.28,$-0.66,0.0
2019-06-30,19.45,$-0.38,0.0
2019-03-31,23.93,$-0.32,0.0
2018-12-31,23.0,$-0.62,0.0
