TriMas PE Ratio Historical Data,TriMas PE Ratio Historical Data,TriMas PE Ratio Historical Data,TriMas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.0,,42.37
2024-12-31,24.59,$0.59,41.68
2024-09-30,25.49,$0.64,39.83
2024-06-30,25.48,$0.98,26.0
2024-03-31,26.6,$0.97,27.43
2023-12-31,25.17,$0.97,25.94
2023-09-30,24.56,$1.23,19.97
2023-06-30,27.23,$1.15,23.67
2023-03-31,27.55,$1.36,20.26
2022-12-31,27.39,$1.57,17.45
2022-09-30,24.72,$1.42,17.41
2022-06-30,27.26,$1.55,17.59
2022-03-31,31.55,$1.35,23.37
2021-12-31,36.33,$1.32,27.52
2021-09-30,31.74,$1.56,20.35
2021-06-30,29.75,$-1.21,0.0
2021-03-31,29.74,$-1.84,0.0
2020-12-31,31.06,$-1.84,0.0
2020-09-30,22.36,$-1.53,0.0
2020-06-30,23.49,$1.21,19.41
2020-03-31,22.66,$2.05,11.05
2019-12-31,30.81,$2.17,14.2
2019-09-30,30.06,$1.68,17.89
2019-06-30,30.38,$1.75,17.36
2019-03-31,29.65,$1.69,17.54
2018-12-31,26.77,$1.80,14.87
2018-09-30,29.82,$1.35,22.09
2018-06-30,28.84,$1.15,25.07
2018-03-31,25.75,$1.05,24.52
2017-12-31,26.24,$0.67,39.16
2017-09-30,26.48,$-0.72,0.0
2017-06-30,20.45,$-0.82,0.0
2017-03-31,20.35,$-0.91,0.0
2016-12-31,23.05,$-0.88,0.0
2016-09-30,18.25,$-0.75,0.0
2016-06-30,17.65,$-0.68,0.0
2016-03-31,17.18,$-0.87,0.0
2015-12-31,18.29,$-0.74,0.0
2015-09-30,16.04,$0.64,25.06
2015-06-30,23.26,$0.87,26.74
2015-03-31,24.2,$1.41,17.16
2014-12-31,24.59,$1.51,16.28
2014-09-30,19.12,$1.63,11.73
2014-06-30,29.96,$1.84,16.28
2014-03-31,26.09,$1.93,13.52
2013-12-31,31.35,$1.85,16.94
2013-09-30,29.32,$1.35,21.72
2013-06-30,29.3,$1.12,26.16
2013-03-31,25.52,$0.89,28.67
2012-12-31,22.01,$0.92,23.92
2012-09-30,18.95,$1.65,11.48
2012-06-30,15.8,$1.70,9.29
2012-03-31,17.59,$1.75,10.05
2011-12-31,14.11,$1.73,8.15
2011-09-30,11.67,$1.51,7.73
2011-06-30,19.45,$1.36,14.3
2011-03-31,16.9,$1.49,11.34
2010-12-31,16.08,$1.31,12.27
2010-09-30,11.67,$0.81,14.41
2010-06-30,8.89,$0.61,14.57
2010-03-31,5.1,$0.26,19.62
2009-12-31,5.32,$-0.01,0.0
