Interactive Strength PE Ratio Historical Data,Interactive Strength PE Ratio Historical Data,Interactive Strength PE Ratio Historical Data,Interactive Strength PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.28,,0.0
2024-09-30,0.16,"$-7,629.53",0.0
2024-06-30,1.41,"$-10,548.00",0.0
2024-03-31,0.26,"$-12,880.00",0.0
