Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,175.59,,36.73
2024-12-31,149.01,$4.78,31.17
2024-09-30,160.17,$4.22,37.96
2024-06-30,136.11,$4.04,33.69
2024-03-31,136.2,$4.36,31.24
2023-12-31,126.86,$4.20,30.2
2023-09-30,108.3,$4.31,25.13
2023-06-30,110.91,$3.01,36.85
2023-03-31,101.9,$2.58,39.5
2022-12-31,99.82,$2.57,38.84
2022-09-30,87.59,$4.51,19.42
2022-06-30,90.82,$5.97,15.21
2022-03-31,127.08,$7.20,17.65
2021-12-31,131.17,$7.18,18.27
2021-09-30,109.85,$5.41,20.31
2021-06-30,113.25,$5.00,22.65
2021-03-31,106.25,$3.73,28.48
2020-12-31,109.37,$3.76,29.09
2020-09-30,94.65,$3.63,26.08
2020-06-30,86.4,$3.86,22.38
2020-03-31,75.92,$3.75,20.25
2019-12-31,86.67,$3.43,25.27
2019-09-30,86.15,$3.70,23.28
2019-06-30,80.0,$3.55,22.53
2019-03-31,70.64,$3.49,20.24
2018-12-31,69.63,$3.43,20.3
2018-09-30,69.01,$4.44,15.54
2018-06-30,67.57,$4.27,15.82
2018-03-31,66.41,$4.19,15.85
2017-12-31,64.4,$4.24,15.19
2017-09-30,62.53,$2.75,22.74
2017-06-30,59.82,$2.70,22.14
2017-03-31,54.16,$2.60,20.85
2016-12-31,50.87,$2.37,21.43
2016-09-30,48.43,$2.44,19.83
2016-06-30,45.89,$2.42,18.95
2016-03-31,42.01,$2.33,18.0
2015-12-31,45.62,$2.28,20.03
2015-09-30,41.71,$2.13,19.6
2015-06-30,39.56,$1.94,20.44
2015-03-31,41.14,$1.82,22.63
2014-12-31,38.57,$1.71,22.53
2014-09-30,34.2,$0.84,40.82
2014-06-30,33.01,$0.86,38.3
2014-03-31,34.46,$0.89,38.72
2013-12-31,39.05,$0.81,48.45
2013-09-30,31.41,$1.52,20.61
2013-06-30,30.77,$1.50,20.54
2013-03-31,28.23,$1.47,19.2
2012-12-31,21.43,$1.50,14.25
2012-09-30,23.1,$1.50,15.42
2012-06-30,23.54,$1.50,15.69
2012-03-31,23.79,$1.44,16.54
2011-12-31,20.87,$1.38,15.1
2011-09-30,20.47,$1.30,15.7
2011-06-30,21.59,$1.20,17.96
2011-03-31,21.39,$1.15,18.66
2010-12-31,20.63,$1.07,19.28
2010-09-30,18.13,$1.03,17.63
2010-06-30,19.57,$1.01,19.45
2010-03-31,19.42,$0.93,20.93
2009-12-31,19.44,$0.85,22.82
