Main Street Capital PE Ratio Historical Data,Main Street Capital PE Ratio Historical Data,Main Street Capital PE Ratio Historical Data,Main Street Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.78,,9.89
2024-12-31,58.58,$5.84,10.03
2024-09-30,49.45,$5.52,8.96
2024-06-30,48.77,$5.35,9.12
2024-03-31,44.98,$5.48,8.21
2023-12-31,40.19,$5.22,7.7
2023-09-30,36.88,$4.94,7.47
2023-06-30,35.49,$4.43,8.01
2023-03-31,34.2,$3.31,10.33
2022-12-31,31.34,$3.22,9.73
2022-09-30,27.94,$3.19,8.76
2022-06-30,31.43,$3.67,8.56
2022-03-31,34.16,$4.86,7.03
2021-12-31,35.35,$4.79,7.38
2021-09-30,32.01,$4.64,6.9
2021-06-30,31.53,$4.60,6.85
2021-03-31,29.61,$3.87,7.65
2020-12-31,23.82,$0.37,64.39
2020-09-30,21.54,$-0.57,0.0
2020-06-30,22.24,$-1.21,0.0
2020-03-31,14.35,$-1.26,0.0
2019-12-31,29.58,$2.07,14.29
2019-09-30,29.06,$1.98,14.68
2019-06-30,27.26,$2.57,10.61
2019-03-31,24.15,$2.89,8.35
2018-12-31,21.61,$2.81,7.69
2018-09-30,24.03,$3.70,6.49
2018-06-30,23.41,$3.18,7.36
2018-03-31,22.2,$3.01,7.38
2017-12-31,23.54,$2.99,7.87
2017-09-30,23.07,$2.84,8.12
2017-06-30,22.0,$3.05,7.21
2017-03-31,21.43,$2.89,7.42
2016-12-31,20.29,$2.65,7.66
2016-09-30,18.51,$1.90,9.74
2016-06-30,17.43,$1.49,11.69
2016-03-31,16.21,$1.71,9.48
2015-12-31,14.76,$2.15,6.86
2015-09-30,13.17,$2.49,5.29
2015-06-30,15.48,$2.56,6.05
2015-03-31,14.62,$2.42,6.04
2014-12-31,13.59,$2.33,5.83
2014-09-30,13.87,$2.37,5.85
2014-06-30,14.68,$2.65,5.54
2014-03-31,14.29,$2.66,5.37
2013-12-31,14.02,$2.66,5.27
2013-09-30,12.54,$2.89,4.34
2013-06-30,11.35,$3.14,3.61
2013-03-31,12.94,$3.33,3.89
2012-12-31,12.0,$3.54,3.39
2012-09-30,11.43,$3.57,3.2
2012-06-30,9.22,$3.18,2.9
2012-03-31,9.23,$2.71,3.4
2011-12-31,7.82,$2.36,3.31
2011-09-30,6.4,$1.91,3.35
2011-06-30,6.69,$1.57,4.26
2011-03-31,6.37,$1.47,4.34
2010-12-31,6.12,$1.15,5.32
2010-09-30,5.26,$1.04,5.06
2010-06-30,4.83,$1.01,4.78
2010-03-31,4.93,$0.91,5.41
2009-12-31,4.92,$0.92,5.35
