First Guaranty Bancshares PE Ratio Historical Data,First Guaranty Bancshares PE Ratio Historical Data,First Guaranty Bancshares PE Ratio Historical Data,First Guaranty Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.53,,10.15
2024-09-30,10.65,$0.84,12.68
2024-06-30,8.94,$0.83,10.77
2024-03-31,9.9,$0.49,20.19
2023-12-31,10.67,$0.62,17.22
2023-09-30,10.41,$0.98,10.62
2023-06-30,10.5,$1.58,6.64
2023-03-31,14.44,$2.09,6.91
2022-12-31,21.4,$2.47,8.66
2022-09-30,19.83,$2.75,7.21
2022-06-30,21.87,$2.72,8.03
2022-03-31,21.4,$2.60,8.22
2021-12-31,18.1,$2.43,7.46
2021-09-30,16.08,$2.30,6.99
2021-06-30,15.48,$2.11,7.34
2021-03-31,14.11,$2.01,7.02
2020-12-31,13.88,$1.89,7.34
2020-09-30,9.38,$1.70,5.52
2020-06-30,9.34,$1.62,5.77
2020-03-31,10.88,$1.46,7.44
2019-12-31,16.27,$1.44,11.32
2019-09-30,14.92,$1.33,11.24
2019-06-30,13.95,$1.28,10.88
2019-03-31,13.61,$1.43,9.53
2018-12-31,15.29,$1.47,10.38
2018-09-30,16.79,$1.45,11.54
2018-06-30,16.9,$1.41,11.95
2018-03-31,16.78,$1.26,13.36
2017-12-31,16.04,$1.24,12.96
2017-09-30,15.62,$1.33,11.74
2017-06-30,15.7,$1.02,15.45
2017-03-31,13.87,$1.18,11.74
2016-12-31,13.62,$1.17,11.69
2016-09-30,9.19,$1.19,7.72
