Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,259.54,,12.09
2024-12-31,240.89,$21.47,11.22
2024-09-30,233.13,$19.50,11.96
2024-06-30,201.6,$15.82,12.74
2024-03-31,227.05,$13.46,16.87
2023-12-31,187.08,$12.79,14.63
2023-09-30,159.51,$9.24,17.26
2023-06-30,168.57,$9.39,17.95
2023-03-31,165.44,$11.73,14.1
2022-12-31,179.99,$11.75,15.32
2022-09-30,146.35,$13.68,10.7
2022-06-30,160.66,$14.41,11.15
2022-03-31,172.64,$15.80,10.93
2021-12-31,147.04,$14.52,10.13
2021-09-30,142.07,$14.25,9.97
2021-06-30,139.15,$14.86,9.36
2021-03-31,139.0,$11.04,12.59
2020-12-31,129.01,$10.50,12.29
2020-09-30,98.81,$8.75,11.29
2020-06-30,103.39,$7.02,14.73
2020-03-31,89.46,$9.28,9.64
2019-12-31,122.45,$9.94,12.32
2019-09-30,132.15,$8.91,14.83
2019-06-30,132.16,$10.03,13.18
2019-03-31,120.58,$9.85,12.24
2018-12-31,104.66,$9.28,11.28
2018-09-30,112.66,$8.94,12.6
2018-06-30,105.63,$7.37,14.33
2018-03-31,119.19,$7.56,15.77
2017-12-31,115.83,$7.31,15.85
2017-09-30,104.06,$8.61,12.09
2017-06-30,106.8,$10.01,10.67
2017-03-31,101.16,$10.14,9.98
2016-12-31,102.17,$10.27,9.95
2016-09-30,95.06,$9.82,9.68
2016-06-30,98.23,$10.34,9.5
2016-03-31,95.75,$10.63,9.01
2015-12-31,92.08,$10.88,8.46
2015-09-30,80.77,$11.15,7.24
2015-06-30,77.96,$10.87,7.17
2015-03-31,86.67,$10.30,8.41
2014-12-31,84.41,$10.70,7.89
2014-09-30,74.52,$10.30,7.24
2014-06-30,74.19,$9.91,7.49
2014-03-31,66.72,$10.36,6.44
2013-12-31,70.57,$9.74,7.25
2013-09-30,65.71,$7.82,8.4
2013-06-30,61.56,$7.73,7.96
2013-03-31,64.46,$6.58,9.8
2012-12-31,54.68,$6.27,8.72
2012-09-30,51.64,$7.00,7.38
2012-06-30,47.96,$5.58,8.6
2012-03-31,44.15,$3.45,12.8
2011-12-31,43.81,$3.35,13.08
2011-09-30,35.82,$3.82,9.38
2011-06-30,42.56,$5.16,8.25
2011-03-31,43.07,$7.40,5.82
2010-12-31,40.1,$6.74,5.95
2010-09-30,37.26,$7.14,5.22
2010-06-30,34.96,$6.67,5.24
2010-03-31,38.02,$6.57,5.79
2009-12-31,34.93,$6.42,5.44
