Equitable Holdings PE Ratio Historical Data,Equitable Holdings PE Ratio Historical Data,Equitable Holdings PE Ratio Historical Data,Equitable Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.41,,13.72
2024-12-31,47.17,$3.82,12.35
2024-09-30,41.82,$-1.09,0.0
2024-06-30,40.4,$2.40,16.83
2024-03-31,37.58,$3.23,11.64
2023-12-31,32.72,$3.38,9.68
2023-09-30,27.69,$3.32,8.34
2023-06-30,26.29,$0.99,26.55
2023-03-31,24.36,$3.40,7.17
2022-12-31,27.37,$4.38,6.25
2022-09-30,24.97,$7.15,3.49
2022-06-30,24.53,$8.05,3.05
2022-03-31,28.89,$3.81,7.58
2021-12-31,30.48,$13.98,2.18
2021-09-30,27.4,$10.58,2.59
2021-06-30,27.99,$7.22,3.88
2021-03-31,29.82,$-1.97,0.0
2020-12-31,23.26,$-1.92,0.0
2020-09-30,16.47,$-1.05,0.0
2020-06-30,17.28,$-0.06,0.0
2020-03-31,12.83,$9.64,1.33
2019-12-31,21.83,$-3.51,0.0
2019-09-30,19.4,$2.03,9.56
2019-06-30,18.16,$1.92,9.46
2019-03-31,17.37,$1.46,11.9
