GeneDx Holdings PE Ratio Historical Data,GeneDx Holdings PE Ratio Historical Data,GeneDx Holdings PE Ratio Historical Data,GeneDx Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,96.71,,0.0
2024-12-31,76.86,$-1.96,0.0
2024-09-30,42.44,$-3.11,0.0
2024-06-30,26.14,$-4.44,0.0
2024-03-31,9.13,$-5.18,0.0
2023-12-31,2.75,$-7.44,0.0
2023-09-30,3.64,$-6.52,0.0
2023-06-30,5.96,$-11.48,0.0
2023-03-31,0.37,$-17.89,0.0
2022-12-31,0.26,$-25.08,0.0
2022-09-30,0.88,$-30.69,0.0
2022-06-30,1.26,$-19.14,0.0
2022-03-31,3.07,$-10.89,0.0
2021-12-31,4.46,$-0.66,0.0
2021-09-30,7.59,$4.95,1.53
